N,r,M,a0,a1,b0,b1,a0_cf,a1_cf,b0_cf,b1_cf,ll,ll_cf,iters,iters_cf
500,0,33,0.007310866632755465,0.030400197969662517,0.6296152260307192,0.7699417547959191,0.007478031600832033,0.030377180494012994,0.6322724407054644,0.7700338989505209,-782.6696535708259,-782.6707354750951,22,23
500,1,54,0.01271275172185443,0.03332927057413333,0.5796354929685016,0.9020375511016492,0.012894880839235656,0.03341205433855764,0.5817430936511494,0.902691730740643,-798.6799163656201,-798.681648004127,23,23
500,2,38,0.003221564747261515,0.04127010850905773,0.4245069315652678,0.8708511041055427,0.0032466063608637256,0.041261184344973556,0.4258556440201646,0.8708008772673375,-773.7255210120902,-773.7276952568651,34,35
500,3,62,0.00010018873862746412,0.043513948845880085,0.8405356902480258,0.8607481248885557,0.00010301155412749288,0.04356341251802669,0.8404184898758327,0.8610093636238085,-741.3099977414881,-741.3105784730801,15,15
500,4,23,3.113634339099965e-05,0.013541138870194008,0.7593923999445839,0.9199492727615504,3.0659396917699966e-05,0.014217405966512792,0.7450499521894478,0.9303949372637947,-764.0678917004932,-764.0627968576736,27,26
500,5,27,0.003483082970259042,0.020200220696182252,0.757523057232896,0.9239750964166937,0.003791960681304957,0.015596281181696597,0.782156854379291,0.8794995035476486,-790.8744754225853,-791.235207175715,12,15
500,6,42,0.00011465956786675648,0.025450889946768224,0.5062049408199457,0.9429498999589901,9.68626900650415e-05,0.0269745069965197,0.4483768186720524,0.961806491249892,-749.6619115258437,-749.6294779934873,77,62
500,7,89,0.007139365148657796,0.05966360023298789,0.4053717522847599,0.9181719574759561,0.007232174856094196,0.05982314459771061,0.40825347923236405,0.9186718717379927,-740.8985213781876,-740.9038697526312,115,121
500,8,34,0.007734516530295187,0.02773260885283062,0.5465653558455034,0.813413819746319,0.0076992510919154135,0.028358495373771702,0.5418588007278275,0.8175282630974038,-761.0704930193707,-761.0673173066325,22,22
500,9,82,0.005558066227399758,0.06344746328757771,0.44395669898884765,0.9105610286119894,0.005291789833722402,0.0661182484254984,0.4378400195004985,0.9155791065292136,-722.3089712090372,-722.3121192886362,32,33
500,10,49,0.005011151370475097,0.016419848911898998,0.5536313257812463,0.9409499477467406,0.0049712620915875715,0.01730075614165753,0.5455130544676052,0.9454585391527334,-742.5372411743641,-742.5352332319509,39,38
500,11,37,5.23677043562266e-05,0.02162903741954083,0.8762315309828109,0.8604098743115552,5.4242627710110155e-05,0.021644253712453793,0.8762307571408052,0.8605288212987082,-756.1260672382725,-756.1264818920012,15,15
500,12,67,0.0008094055300764332,0.04708211121036071,0.9308016007140028,0.9068040989898173,0.00025514982371682617,0.0426829022415989,0.9344333956568878,0.8810833219935346,-720.0978626653588,-720.238152065436,115,24
500,13,44,0.006764850521672366,0.027796200466078093,0.7596003390999891,0.8780693437761464,0.006913686884335517,0.027729701774368273,0.7634835883457488,0.8774511309397187,-769.2823684129844,-769.2843106405129,20,21
500,14,17,0.018539773214186147,0.006442181129667194,0.7529624306889591,0.22981845565370382,0.01853500166661018,0.006489985090542106,0.7531031961118496,0.2304877012434583,-783.1442867290423,-783.1458118558821,20,20
500,15,52,0.00017762623866031678,0.0518903109804058,0.6557009963184639,0.8297305446547982,0.00019310538513328675,0.04832687059896008,0.6685391363127167,0.8139137603438349,-730.3314104741162,-730.4097780203217,21,22
500,16,81,0.00015355814046218708,0.035535309921446684,0.54764301694314,0.9302439003791411,0.00015515501267436538,0.035798553045853394,0.5468727452618874,0.9312153600234344,-702.1930799628852,-702.1921192040134,23,23
500,17,27,5.254075260477503e-05,0.015972670751515334,0.6295654511272488,0.9129518097898215,4.9525216854022645e-05,0.016836067025786338,0.6273622716445435,0.918489409824789,-756.9006066929646,-756.9046303313851,22,21
500,18,61,0.006987322108940641,0.028863418186990297,0.7111924068642884,0.9179597090048565,0.006708683343645013,0.030766850089217354,0.6927626611294807,0.9236628476550786,-711.4312638259697,-711.4300793576481,40,37
500,19,42,0.009661211339880385,0.036101994864465435,0.5085710647916248,0.8311480941874665,0.009649587312634246,0.037058061173208735,0.5077874262662747,0.8348438272000266,-738.5789140752149,-738.5804024080023,19,19
500,20,50,0.007759248926957488,0.02671685519063708,0.8763151326812889,0.9059959892370791,0.007999755177068198,0.026659463065442056,0.8807560974197243,0.9058191904775413,-745.3483575583818,-745.3505990390311,14,11
500,21,43,0.00011708972676858474,0.021110216094979244,0.4920674606111825,0.9784091554067635,0.00010748587220021685,0.023361395260290567,0.4590963033687733,0.9955170822218745,-738.1361212768039,-738.6928346543709,42,38
