model,scenario,N,r,M,bursts,LR,ll0,ll1,it0,it1,tr0_maxgap,tr1_max,tr1_argmax,tr1_first,LL0_th1,P0,P1,L1step0,nev0,nev1,th0_mu0,th1_mu0,th0_mu1,th1_mu1,th0_s0,th1_s0,th0_s1,th1_s1,th0_A00,th1_A00,th0_A11,th1_A11,alt_onset0,alt_onset1,alt_persistence0,alt_persistence1,seconds
hmc_dn,markov-null,500,0,47,10,6.1977520630650815,-619.8047660535874,-616.7058900220549,32,34,0.0,3.1052490802272814,9,2.2737367544323206e-13,-619.9628335195812,-616.7018001573156,-616.6718163013659,-618.1314275448107,35,46,-0.5533271080826629,-0.6235553676278074,1.285567091670405,1.2577176766140319,1.1337541849022366,1.0997393912930697,0.9503737032470974,0.9516718660562007,0.9074837900477425,0.9114032300100765,0.8661855613691872,0.8769997095076906,0.0392400906747942,0.00020106702865761565,0.81769696800136,0.6868866489203772,4.100613832473755
hmc_dn,markov-null,500,1,40,7,1.2219002004719641,-573.6202636262756,-573.0093135260396,46,38,0.07702420807163435,0.6146442993695018,4,3.410605131648481e-13,-573.6422614951636,-572.9870653819501,-573.0045405299326,-573.0808140114721,12,13,-1.0662345580651678,-1.0642816115496592,1.160681938870178,1.1654680764590553,0.9983176437253088,0.9980905816118285,0.8211409992008426,0.8179563315052256,0.9266931174930617,0.926298062605129,0.8992798180848306,0.8991908948497556,0.018607842513076154,0.010349839494873597,0.7729862754471883,0.9007760364933227,3.4682958126068115
hmc_dn,markov-null,500,2,41,11,0.3743178362974504,-617.2682382344619,-617.0810793163132,63,43,0.08453741844084561,0.18966913573888178,10,3.410605131648481e-13,-617.2860250806566,-617.07762322386,-617.0808005902172,-617.1535973796315,13,11,-1.0471611898065518,-1.0408275748090927,0.8034763044495518,0.7911684082868662,0.8347861134595066,0.8384811153365572,1.108852927579157,1.1203061441301323,0.8798624694369169,0.8799284288515503,0.891449124848649,0.8906213380935002,0.03149022081947788,0.017062981769357152,0.714585995597519,0.7492555768715914,4.132550954818726
hmc_dn,markov-null,500,3,30,11,3.328903142446052,-649.3242469907061,-647.6597954194831,35,25,0.0,1.664451571223026,24,4.547473508864641e-13,-649.3339763641984,-647.6552262310586,-647.6407323204202,-648.013859812359,11,14,-1.0005800264008604,-0.9937964246147839,1.3742781807797666,1.3942068025722252,1.0414725056486778,1.0413327852282717,0.9499263747651788,0.9390320792835876,0.9272437504727715,0.9262505825430061,0.8735095599231713,0.8734058370859594,0.01913778744083763,0.030560343771788533,0.4673353969874873,0.8214580814254313,2.5767977237701416
hmc_dn,markov-null,500,4,55,10,1.4179961444679066,-606.5469723403646,-605.8379742681307,23,44,0.0025912907577776423,0.7089980722339533,43,-5.684341886080801e-13,-606.5435959784517,-605.9350233138106,-605.8337660117056,-606.165943084613,13,13,-0.979822308642534,-0.9498943721254439,1.1028991507406598,1.1207886325095893,0.9066417741992552,0.9227340655556571,0.960422654757471,0.9569162030669377,0.923056082794885,0.9274365693791815,0.9287201599372639,0.9257926685581943,0.0333665082233556,0.01237784006602842,0.8482934992813008,0.7236921316364242,2.986539840698242
hmc_dn,markov-null,500,5,43,6,5.4684894809090565,-596.3356847514867,-593.6014400110322,36,72,0.22743277336678602,2.7342447404545283,71,1.1368683772161603e-12,-596.5238338538084,-594.1206788192324,-593.4093714265333,-596.0983479293052,41,47,-0.6052336019202431,-0.6256093783305876,1.2698849693271765,1.2340321133772607,1.2370422703871504,1.2326310132975633,1.0108697663934338,1.0199627781119989,0.9345232456428504,0.9224810333479075,0.8159358890058261,0.8355227889058667,0.00014699658228252443,0.037927139232065414,0.6474032200888861,0.9959000853128378,5.317387104034424
hmc_dn,markov-null,500,6,24,6,0.5654495938840682,-582.6273438904648,-582.3446190935227,58,48,0.024828019470874096,0.2827247969420341,47,9.094947017729282e-13,-582.5909628952188,-582.3924084318629,-582.344328660114,-582.4541571476019,13,11,-0.7810904513165776,-0.8137934212291408,1.0466712733025607,1.0229630666961853,0.9670925533314025,0.9543033579455178,1.0414724869478906,1.0436962161836156,0.8933860420830741,0.8921037440882724,0.8952115575546656,0.8991282453492845,0.017536543847857116,0.00786059975188275,0.7291933378314965,0.7643295800534871,3.903792142868042
hmc_dn,markov-null,500,7,52,8,-0.9562368820709253,-563.7715156828865,-564.249634123922,62,36,0.2435263088249826,0.03521374213210038,1,5.684341886080801e-13,-564.423739688392,-563.671977960526,-564.2487370066359,-563.7362984451155,14,12,-0.8895118355767317,-0.9726196699308578,-0.11150838460676722,-0.09571725933728709,0.9422754564954876,0.9294047812407352,1.2954929364381271,1.2820114478711055,0.778178368748089,0.7832847679656033,0.932810647301374,0.9342504575681335,0.029841469461436936,0.014050175942544547,0.8732706630828437,0.8324175884848055,3.577134132385254
hmc_dn,markov-null,500,8,56,7,0.03581642090216519,-539.0875046757658,-539.0695964653147,59,35,0.02157753816265995,0.026423546508567597,2,1.1368683772161603e-13,-539.1047888933496,-539.0540736362843,-539.0694552766153,-539.0639128717708,11,10,-0.8894993108462672,-0.8990255836364914,0.831346611911175,0.8295644168485862,1.136081639171211,1.132401660022041,0.7594539655129127,0.7590727960266288,0.9282172803805,0.9287131297231276,0.9217130513491396,0.9224895720355399,0.016325633617966052,0.014701292286070127,0.8852976381283619,0.8549521656612619,3.527099847793579
hmc_dn,markov-null,500,9,56,6,3.4341050935057638,-511.3160667848734,-509.5990142381205,112,66,0.7481612386249594,1.7170525467528819,65,-5.684341886080802e-14,-510.8057294170536,-510.76505618077977,-509.588570895831,-511.1735313146163,13,11,-0.4100954313948221,-0.6987195416846577,0.416471896418427,0.582001182180651,1.153020408349301,1.0005483784295979,1.2508127763150023,1.1778653507427648,0.902021995296907,0.8988747126265033,0.9080489249365615,0.9247585506419669,0.01594554352692187,0.01089453362609182,0.7469779395487758,0.9589907746207041,6.720423936843872
