model,scenario,N,r,B,LR,p_asym,p_boot,B_valid,seconds
hmc_in,state-null,500,176,99,9.45195821411835,0.0021092379203753683,0.01,99,13.88569688796997
hmc_in,state-null,500,177,99,0.010311127452951041,0.9191188518600634,0.93,99,12.659723043441772
hmc_in,state-null,500,178,99,0.003600362978886551,0.9521532256326372,0.94,99,16.44348692893982
hmc_in,state-null,500,179,99,1.4954219435098821,0.22137711657334203,0.26,99,15.419404029846191
hmc_in,state-null,500,180,99,4.603705854260625,0.03190292385816618,0.06,99,15.953703880310059
hmc_in,state-null,500,181,99,0.6205101788068532,0.43085776351838234,0.43,99,13.094844818115234
hmc_in,state-null,500,182,99,0.03890135599294808,0.8436442162493236,0.88,99,12.719964027404785
hmc_in,state-null,500,183,99,0.9645902974189084,0.32603305899538,0.39,99,16.068623065948486
hmc_in,state-null,500,184,99,2.5224299384838105,0.11223751314146509,0.14,99,13.942105770111084
hmc_in,state-null,500,185,99,0.9622295600565849,0.3266257802915772,0.36,99,16.111928701400757
hmc_in,state-null,500,186,99,0.6937270146825085,0.4048995705578463,0.31,99,14.098072290420532
hmc_in,state-null,500,187,99,0.6852276653905847,0.4077923876823516,0.39,99,14.192775964736938
hmc_in,state-null,500,188,99,0.1667556429333672,0.6830114146902833,0.71,99,15.26119589805603
hmc_in,state-null,500,189,99,0.05641341078830919,0.8122572257083773,0.79,99,14.281022071838379
hmc_in,state-null,500,190,99,0.22905794294501902,0.6322232310248028,0.7,99,15.941163063049316
hmc_in,state-null,500,191,99,0.25499126294539565,0.6135822980248783,0.68,99,15.311408042907715
hmc_in,state-null,500,192,99,1.2229848265010332,0.2687756730500461,0.35,99,18.191883087158203
hmc_in,state-null,500,193,99,0.3240961467759007,0.5691563469267213,0.63,99,16.23993706703186
hmc_in,state-null,500,194,99,0.02448370064144001,0.8756604495221281,0.88,99,12.822582721710205
hmc_in,state-null,500,195,99,0.03804633817026115,0.8453501211417742,0.83,99,16.55658793449402
hmc_in,state-null,500,196,99,0.20198537396686334,0.6531230594253611,0.56,99,14.552623748779297
hmc_in,state-null,500,197,99,1.9131535189030728,0.1666133810557867,0.22,99,15.086548089981079
hmc_in,state-null,500,198,99,0.3434232270769826,0.5578599037098377,0.61,99,15.02620005607605
hmc_in,state-null,500,199,99,0.25661560987032317,0.6124548687402781,0.64,99,15.370798110961914
