mote,method,gap_nodes,window_hi,n_differ_from_default,same_as_main_run,seconds,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
22,PMC nonseq BH α=0.001,64,72466,0,,6.820795566600282,30863.912280366054,3818.725660453387,0.05,0,,29742,389,513,1.0,0.7582846003898636,1.0,117,623,0,1786,0,26937,7,0.98635477582846,0.5,0.0,0,0.0,1.150019208594816,1.150019208594816,1.150019208594816
22,PMC nonseq BH α=0.001,256,72466,0,,154.5547723415999,30861.519987474818,1791.9006481066,0.05,0,,29742,389,513,1.0,0.7582846003898636,1.0,117,623,0,1786,0,26937,7,0.98635477582846,0.5,0.0,0,0.0,1.150019208594816,1.150019208594816,1.150019208594816
22,PMC nonseq BH α=0.01,64,72466,0,,6.820795566600282,30863.912280366054,3818.725660453387,0.05,0,,29742,389,558,1.0,0.6971326164874552,1.0,156,623,5,1786,1,26937,7,0.9767025089605734,0.5385375494071146,0.03712365890782195,1,0.07188378334167385,39.82566520199004,17.291955491552486,1.8833647908871622
22,PMC nonseq BH α=0.01,256,72466,0,,154.5547723415999,30861.519987474818,1791.9006481066,0.05,0,,29742,389,558,1.0,0.6971326164874552,1.0,156,623,5,1786,1,26937,7,0.9767025089605734,0.5385375494071146,0.03712365890782195,1,0.07188378334167385,39.82566520199004,17.291955491552486,1.8833647908871622
22,PMC nonseq α=0.0001,64,72466,0,True,6.820795566600282,30863.912280366054,3818.725660453387,0.05,0,,29742,389,544,1.0,0.7150735294117647,1.0,144,623,4,1786,0,26937,7,0.9797794117647058,0.5266798418972332,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,PMC nonseq α=0.0001,256,72466,0,,154.5547723415999,30861.519987474818,1791.9006481066,0.05,0,,29742,389,544,1.0,0.7150735294117647,1.0,144,623,4,1786,0,26937,7,0.9797794117647058,0.5266798418972332,0.0,0,0.0,17.291955491552486,17.291955491552486,1.4583576920586434
22,PMC nonseq α=0.001,64,72466,0,True,6.820795566600282,30863.912280366054,3818.725660453387,0.05,0,,29742,389,602,1.0,0.6461794019933554,1.0,188,623,9,1786,9,26937,7,0.9584717607973422,0.5701581027667985,0.3341129301703976,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC nonseq α=0.001,256,72466,0,,154.5547723415999,30861.519987474818,1791.9006481066,0.05,0,,29742,389,602,1.0,0.6461794019933554,1.0,188,623,9,1786,9,26937,7,0.9584717607973422,0.5701581027667985,0.3341129301703976,9,0.6469540500750647,351.83087657727924,17.7836303705894,2.091701604038397
22,PMC nonseq α=0.01,64,72466,0,True,6.820795566600282,30863.912280366054,3818.725660453387,0.05,0,,29742,389,898,1.0,0.43318485523385303,1.0,246,623,59,1786,197,26937,7,0.7071269487750557,0.6274703557312253,7.313360804840925,59,4.241143217158757,351.8392100498053,23.76706364429286,2.5500425929711135
22,PMC nonseq α=0.01,256,72466,3,,154.5547723415999,30861.519987474818,1791.9006481066,0.05,0,,29742,389,897,1.0,0.4336677814938685,1.0,246,623,59,1786,196,26937,7,0.7079152731326644,0.6274703557312253,7.276237145933103,58,4.169259433817083,351.8392100498053,23.76706364429286,2.5500425929711135
