mote,kind,K,part,n,ks_stat,ks_p,lb_stat,lb_p,lb2_stat,lb2_p,z_mean,z_sd,acf1_z,n_after_gap,z_sd_after_gap,z_sd_after_obs,nonseq_after_gap_0.001,log_lik_days_1_10,gap_nodes,pit_seconds,nonseq_0.01,nonseq_0.001,nonseq_0.0001,seq_0.001,quad_error_days_1_10,quad_limit_days_1_10,batch_log_lik_days_1_10,quad_warnings,quad_error_max_warned,quad_limit_warned,other_warnings,other_warning_kinds,check_z_sd_after_gap,check_nonseq_0.001,check_seq_0.001,check_seq_same_rows,check_gap_nodes,check_log_lik_days_1_10,check_quad_error_days_1_10,selected
48,hmc_in,2,held-out,7551,0.3273213229390366,0.0,75255.40369162786,0.0,75449.68488969842,0.0,1.0128163689905882,1.6318996881807832,0.9998348336650209,933,1.6715898420033877,1.6260946971013972,112,-53935.40806132028,64,0.8531937499938067,1123,786,491,801,,,-53935.40806132027,0,,,0,,,,,,,,,False
48,hmc_in,2,fit,17657,0.09258530017233646,3.6113572244134344e-132,170770.01087478406,0.0,168884.60974421614,0.0,-0.020346834693667555,0.9878540889801439,0.9986630421211403,2157,0.9970103367749995,0.9862938837019531,15,-53935.40806132028,64,0.8531937499938067,308,142,15,142,,,-53935.40806132027,0,,,0,,,,,,,,,False
48,hmc_in,3,held-out,7551,0.24700924652488065,0.0,74630.69358589784,0.0,75352.71528542152,0.0,0.7588084693003243,1.6108138182656613,0.9995581056825401,933,1.644002496859997,1.6059569284181232,99,-41037.16079200294,64,0.8896001670073019,911,678,393,694,,,-41037.16079200294,0,,,0,,,,,,,,,True
48,hmc_in,3,fit,17657,0.036911325846114784,2.4483811871171313e-21,162495.77778859608,0.0,161444.66513175596,0.0,-0.01885914497848402,0.9743591585431712,0.9971245463849449,2157,0.9491344256573244,0.9777236848177608,8,-41037.16079200294,64,0.8896001670073019,219,75,2,76,,,-41037.16079200294,0,,,0,,,,,,,,,True
48,pmc_state,2,held-out,7551,0.023160417326804322,0.0005968706100341958,6630.090298961473,0.0,3284.9713039981652,0.0,0.031770363071404475,1.01853348016877,0.1469298495491174,933,1.0462160735292614,1.0144817895890768,0,65118.80201456601,64,6.397263917009695,145,1,0,1,0.29333812842584245,0.05,65118.80201456601,1,0.29,0.05,0,,,,,,,,,False
48,pmc_state,2,fit,17657,0.057930277912826234,5.995500565054474e-52,8222.828934602783,0.0,5699.1696378306015,0.0,-0.06462928638736928,0.9733254333241077,0.08938130744779063,2157,0.9729863712882589,0.9733131026438756,0,65118.80201456601,64,6.397263917009695,245,6,0,7,0.29333812842584245,0.05,65118.80201456601,1,0.29,0.05,0,,,,,,,,,False
48,pmc_state,3,held-out,7551,0.0450081751259071,9.912199291605057e-14,4071.314043218809,0.0,1005.607419125847,1.1586918486680576e-209,0.017133424361935965,0.9031892221848878,0.048647664758166974,933,0.8760453798124683,0.9068312478425898,0,67114.06332276174,64,8.16107916701003,80,3,1,10,0.18754191829018968,0.05,67114.06332276174,1,0.19,0.05,0,,0.8760398779190094,3.0,10.0,True,256.0,67114.06915733384,0.006730600463400062,True
48,pmc_state,3,fit,17657,0.055324547590809625,2.0465636891271526e-47,6089.315255092548,0.0,1124.2262266259254,3.159048123614032e-235,-0.0796862496975585,0.9592170730765808,0.04142695876805995,2157,0.9586333782904363,0.9592548532820964,0,67114.06332276174,64,8.16107916701003,186,11,0,15,0.18754191829018968,0.05,67114.06332276174,1,0.19,0.05,0,,0.9587041278694886,11.0,15.0,True,256.0,67114.06915733384,0.006730600463400062,True
22,hmc_in,2,held-out,7736,0.16073295945034316,4.4892634939132475e-175,75994.30672148881,0.0,73300.08836944596,0.0,-0.0790431001154564,0.8908948033797024,0.9991631570409115,809,0.8622036575722014,0.8939581347957566,0,-59557.95565521559,64,0.9108281669905409,0,0,0,0,,,-59557.95565521559,0,,,0,,,,,,,,,False
22,hmc_in,2,fit,17702,0.08381566018833803,1.239037059110191e-108,172293.55510009284,0.0,164941.41009022456,0.0,-0.02658495225795072,0.9832195008251897,0.9988205570180025,2100,0.9858437568797999,0.9827517974045991,0,-59557.95565521559,64,0.9108281669905409,0,0,0,0,,,-59557.95565521559,0,,,0,,,,,,,,,False
