mote,kind,K,start,tag,n_obs,loglik,bic,k_params,iters,best_iter,quad_error,quad_limit,quad_warnings,quad_error_max_warned,quad_limit_warned,other_warnings,other_warning_kinds,seconds,best,selected,mean,sd,pi,stay,copulas
22,pmc_state,2,0,kmeans,17702,39778.946399724824,-79460.07847038435,10,12,9,3.177713398726839,0.05,13,5.4,0.05,4,ICE iter 10: log-lik regressed by 1.5694e+01 (streak=1/3). || ICE iter 4: log-lik regressed by 1.9199e+03 (streak=1/3). || ICE iter 6: log-lik regressed by 3.4273e+02 (streak=1/3). || ICE iter 8: log-lik regressed by 8.6089e+01 (streak=1/3).,27.598512124997796,False,False,22.16 / 22.77,3.43 / 5.11,0.04 / 0.96,0.9459 / 0.9979,Clayton(0.975) / Clayton(0.997)
22,pmc_state,2,1,family-random-1,17702,36154.21580317122,-72210.61727727714,10,5,2,5.5418983511877205,0.05,6,6.1,0.05,1,ICE iter 3: log-lik regressed by 1.3431e+01 (streak=1/3).,10.739523291995283,False,False,22.16 / 22.77,3.43 / 5.11,0.04 / 0.96,0.9459 / 0.9979,Clayton(0.975) / Clayton(0.997)
22,pmc_state,2,2,family-random-2,17702,39933.168226812115,-79768.52212455893,10,10,9,2.465720550206231,0.05,10,2.5,0.05,0,,20.473850458001834,True,False,22.16 / 22.77,3.43 / 5.11,0.04 / 0.96,0.9459 / 0.9979,Clayton(0.975) / Clayton(0.997)
22,pmc_state,3,0,kmeans,17702,40509.411865360154,-80823.19507258973,20,11,5,5.214440893492785,0.05,12,76.0,0.05,5,ICE iter 1: log-lik regressed by 6.9762e+02 (streak=1/3). || ICE iter 3: log-lik regressed by 1.5225e+02 (streak=1/3). || ICE iter 6: log-lik regressed by 1.7827e+01 (streak=1/3). || ICE iter 8: log-lik regressed by 1.0949e+01 (streak=1/3). || ICE iter 9: log-lik regressed by 6.5845e+00 (streak=2/3).,39.28893354200409,False,False,22.45 / 22.75 / 23.36,1.79 / 5.17 / 3.40,0.03 / 0.94 / 0.02,0.9927 / 0.9990 / 0.9490,Gauss(0.975) / Clayton(0.997) / Clayton(0.920)
22,pmc_state,3,1,family-random-1,17702,39914.270614437555,-79632.91257074453,20,12,4,4.277855547807409,0.05,13,6.2,0.05,1,ICE iter 5: log-lik regressed by 5.4774e+02 (streak=1/3).,42.66973241600499,False,False,22.45 / 22.75 / 23.36,1.79 / 5.17 / 3.40,0.03 / 0.94 / 0.02,0.9927 / 0.9990 / 0.9490,Gauss(0.975) / Clayton(0.997) / Clayton(0.920)
22,pmc_state,3,2,family-random-2,17702,40853.683143929156,-81511.73762972774,20,17,6,1.694140934954203,0.05,17,18.0,0.05,4,ICE iter 11: log-lik regressed by 4.2731e+03 (streak=1/3). || ICE iter 4: log-lik regressed by 3.2395e+02 (streak=1/3). || ICE iter 7: log-lik regressed by 3.1025e+03 (streak=1/3). || ICE iter 9: log-lik regressed by 1.9711e+03 (streak=1/3).,57.48123620900151,True,True,22.45 / 22.75 / 23.36,1.79 / 5.17 / 3.40,0.03 / 0.94 / 0.02,0.9927 / 0.9990 / 0.9490,Gauss(0.975) / Clayton(0.997) / Clayton(0.920)
47,hmc_in,2,0,kmeans,17168,-32310.30120238812,64679.10721956546,6,15,14,,,0,,,0,,1.631654915996478,False,False,17.24 / 21.69,0.93 / 2.15,0.37 / 0.63,0.9990 / 0.9994,
47,hmc_in,2,1,perturbed-1,17168,-32310.624121228182,64679.75305724559,6,15,14,,,0,,,0,,1.722446416009916,False,False,17.24 / 21.69,0.93 / 2.15,0.37 / 0.63,0.9990 / 0.9994,
47,hmc_in,2,2,perturbed-2,17168,-32310.02178564762,64678.54838608446,6,16,15,,,0,,,0,,1.763171707993024,True,False,17.24 / 21.69,0.93 / 2.15,0.37 / 0.63,0.9990 / 0.9994,
47,hmc_in,3,0,kmeans,17168,-23684.46006374383,47485.92975706611,12,8,7,,,0,,,0,,1.0046932910045143,False,False,17.26 / 20.25 / 23.73,0.94 / 0.59 / 1.86,0.38 / 0.36 / 0.27,0.9990 / 0.9972 / 0.9976,
47,hmc_in,3,1,perturbed-1,17168,-23684.397005306044,47485.803640190534,12,8,7,,,0,,,0,,0.9990717920009047,True,True,17.26 / 20.25 / 23.73,0.94 / 0.59 / 1.86,0.38 / 0.36 / 0.27,0.9990 / 0.9972 / 0.9976,
47,hmc_in,3,2,perturbed-2,17168,-23684.413790196475,47485.837209971396,12,8,7,,,0,,,0,,1.0038289579970296,False,False,17.26 / 20.25 / 23.73,0.94 / 0.59 / 1.86,0.38 / 0.36 / 0.27,0.9990 / 0.9972 / 0.9976,
47,pmc_state,2,0,kmeans,17168,36874.92811034255,-73652.3481960364,10,7,3,0.19525755389119598,0.05,8,0.75,0.05,2,ICE iter 4: log-lik regressed by 2.7407e+01 (streak=1/3). || ICE iter 5: log-lik regressed by 1.3815e+01 (streak=2/3).,17.279443499995978,False,False,19.40 / 23.21,2.22 / 3.17,0.83 / 0.17,0.9978 / 0.9892,Clayton(0.993) / GH(0.986)
47,pmc_state,2,1,family-random-1,17168,36870.49760724218,-73643.48718983565,10,7,3,0.14122124809776287,0.05,7,0.44,0.05,2,ICE iter 4: log-lik regressed by 3.0241e+01 (streak=1/3). || ICE iter 5: log-lik regressed by 7.3432e+00 (streak=2/3).,16.283810374996392,False,False,19.40 / 23.21,2.22 / 3.17,0.83 / 0.17,0.9978 / 0.9892,Clayton(0.993) / GH(0.986)
47,pmc_state,2,2,family-random-2,17168,37230.0430226448,-74362.5780206409,10,17,5,0.4002537883555235,0.05,17,0.85,0.05,3,ICE iter 3: log-lik regressed by 4.9798e+02 (streak=1/3). || ICE iter 6: log-lik regressed by 2.2871e+02 (streak=1/3). || ICE iter 7: log-lik regressed by 5.0508e+02 (streak=2/3).,40.41800658300053,True,False,19.40 / 23.21,2.22 / 3.17,0.83 / 0.17,0.9978 / 0.9892,Clayton(0.993) / GH(0.986)
47,pmc_state,3,0,kmeans,17168,39958.94197437691,-79722.86789945641,20,8,7,0.11813667273515421,0.05,9,2.2,0.05,2,ICE iter 2: log-lik regressed by 3.7660e+02 (streak=1/3). || ICE iter 5: log-lik regressed by 1.8719e+01 (streak=1/3).,32.69375145799131,False,False,18.71 / 21.61 / 25.49,1.95 / 1.89 / 2.40,0.63 / 0.30 / 0.07,0.9990 / 0.9936 / 0.9823,Gauss(0.996) / GH(0.983) / GH(0.969)
47,pmc_state,3,1,family-random-1,17168,39970.93582232293,-79746.85559534845,20,10,8,0.1221905563232055,0.05,11,14.0,0.05,0,,40.13116562500363,True,True,18.71 / 21.61 / 25.49,1.95 / 1.89 / 2.40,0.63 / 0.30 / 0.07,0.9990 / 0.9936 / 0.9823,Gauss(0.996) / GH(0.983) / GH(0.969)
47,pmc_state,3,2,family-random-2,17168,37147.84514370074,-74100.67423810407,20,16,5,0.10322367593448308,0.05,15,130.0,0.05,12,ICE iter 6: log-lik regressed by 5.3885e+02 (streak=1/3). || ICE iter 7: log-lik regressed by 8.6763e+02 (streak=2/3). || ICE: degenerate fitted model — state 2: stationary weight π = 0.000163 < 0.005. Its likelihood may be unbounded (a collapsing variance or τ → ±1 gains nats with || Missing-data pass: a step underflows in linear space,88.32792491700093,False,False,18.71 / 21.61 / 25.49,1.95 / 1.89 / 2.40,0.63 / 0.30 / 0.07,0.9990 / 0.9936 / 0.9823,Gauss(0.996) / GH(0.983) / GH(0.969)
