study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
hmc_in_gauss_k2,0.01,ar1|raw+gate,True,5,1.031,1.0629,0.94577,0.63116,0.63116,0.6,1,1,6.4289
hmc_in_gauss_k2,0.01,ar1|robust+gate,True,5,1.0051,1.0103,0.94598,0.59773,0.59773,0.4,1,1,5.4506
hmc_in_gauss_k2,0.01,persistence|raw,True,5,7.8813,62.115,7.8026,6.8415,,0,0,0,6.6926
hmc_in_gauss_k2,0.01,ar1|clean,True,5,0.72945,0.5321,0.56792,0.45425,0.45425,0.8,1,1,5.0393
hmc_in_gauss_k2,0.01,persistence|clean,True,5,1.2513,1.5657,1.1212,0.73958,,0.2,0.8,1,6.0734
hmc_in_gauss_k2,0.05,hmc_in_K2|true+gate,False,940,1.1958,1.4299,0.95831,0.67072,0.67258,0.50426,0.81702,0.94894,4.8923
hmc_in_gauss_k2,0.05,hmc_in_K2|true+gate,True,50,1.3506,1.8242,1.097,0.75868,0.76891,0.46,0.82,0.94,5.0878
hmc_in_gauss_k2,0.05,hmc_in_K2|true,False,940,1.1998,1.4395,0.96348,0.67391,0.67535,0.50213,0.82021,0.95,4.8939
hmc_in_gauss_k2,0.05,hmc_in_K2|true,True,50,1.8253,3.3316,1.573,1.1502,1.1364,0.26,0.46,0.8,4.6736
hmc_in_gauss_k2,0.05,hmc_in_K2|clean,False,940,1.1946,1.427,0.95871,0.67038,0.67224,0.50319,0.82021,0.94894,4.8832
hmc_in_gauss_k2,0.05,hmc_in_K2|clean,True,50,1.2086,1.4608,0.94399,0.66517,0.67515,0.48,0.84,0.96,4.9303
hmc_in_gauss_k2,0.05,hmc_in_K2|raw+gate,False,940,1.4274,2.0376,1.1722,0.80283,0.87142,0.48936,0.85957,0.98298,11.248
hmc_in_gauss_k2,0.05,hmc_in_K2|raw+gate,True,50,1.446,2.0908,1.2786,0.8461,0.84632,0.34,0.78,0.98,5.5386
