study,a,b,n_origins,mean_diff,ci_lo,ci_hi,frac_a_better
tsnh4,ar1|raw+gate,ar1|raw,93,0.00303802,0,0.00911406,0
tsnh4,ar1|robust+gate,ar1|raw,93,0.00764412,0.00153898,0.01685,0.526882
tsnh4,hmc_in_K3|raw,ar1|raw,93,0.0684051,0.0490431,0.0880521,0.150538
tsnh4,hmc_in_K3|raw+gate,ar1|raw,93,0.0684051,0.0496846,0.08814,0.150538
tsnh4,hmc_in_K3|robust,ar1|raw,93,0.0687992,0.0484767,0.0894478,0.150538
tsnh4,hmc_in_K3|robust+gate,ar1|raw,93,0.0687992,0.0499854,0.0875713,0.150538
tsnh4,persistence|raw,ar1|raw,93,0.00697644,0.00371879,0.0102148,0.215054
tsnh4,pmc_state_K2|raw,ar1|raw,93,0.00254958,-0.000938373,0.0062023,0.623656
tsnh4,pmc_state_K2|raw+gate,ar1|raw,93,0.00254958,-0.00114962,0.00635456,0.623656
tsnh4,pmc_state_K2|robust,ar1|raw,93,0.00421059,-4.71915e-05,0.00861948,0.55914
tsnh4,pmc_state_K2|robust+gate,ar1|raw,93,0.00475259,0.000292637,0.00909528,0.55914
tsnh4,pmm_default|raw,ar1|raw,93,-0.00604889,-0.00833997,-0.00381949,0.688172
