tuple,abcde,d_minus_bc,e_minus_bc,Y_is_AR1,c,trA,detA,gamma2,c2,N,ll_pmm,ll_pmc_ar1map,ll_ar1_closed,ll_pmc_minus_pmm,ll_ar1_minus_pmm,ll_ar1_mle,ar1_mle_phi,max_abs_mean_pmc_vs_ar1,max_abs_sd_pmc_vs_ar1,max_abs_quantile_pmc_vs_gauss,max_abs_mean_pmm_vs_ar1,max_abs_sd_pmm_vs_ar1,max_abs_theoryMSE_vs_pmm_var
d_eq_bc,0.8 0.5 0.7 0.35 0.6,0.0,0.25,True,0.7,1.366666666666667,0.46666666666666684,0.48999999999999994,0.48999999999999994,2000,-755.0942294002668,-755.0942294002639,-755.0942294002643,2.9558577807620168e-12,2.5011104298755527e-12,-753.8148570338419,0.7160180480702989,3.143032145658253e-08,1.6615323672475313e-07,1.0223678057474928e-06,2.220446049250313e-16,1.6653345369377348e-16,0.0
e_eq_bc,0.8 0.5 0.7 0.6 0.35,0.25,0.0,True,0.7,1.366666666666667,0.4666666666666669,0.4899999999999999,0.48999999999999994,2000,-773.5300758155583,-773.5300758155568,-773.5300758155563,1.5916157281026244e-12,2.0463630789890885e-12,-773.4661361335945,0.6965641826204092,1.1157284207641283e-08,8.549366742327535e-08,3.841955171779432e-07,2.220446049250313e-16,5.551115123125783e-17,0.0
generic,0.8 0.5 0.7 0.5 0.65,0.15000000000000002,0.30000000000000004,False,0.7,1.2333333333333334,0.3133333333333334,0.5499999999999998,0.48999999999999994,2000,-728.3943200040678,-757.1986726087578,-757.1986726087579,-28.80435260468994,-28.804352604690052,-755.7768300745533,0.679827764754863,6.1815652596663995e-09,8.548623248172404e-08,2.517955690617413e-07,0.05421309271595631,0.030208249088532424,0.0
hmm,0.9 0.8 0.576 0.72 0.72,0.25919999999999993,0.25919999999999993,False,0.5760000000000002,0.9,3.7747582837255436e-17,0.5184000000000002,0.3317760000000002,2000,-963.8184965816047,-1057.5028899087956,-1057.5028899087959,-93.68439332719095,-93.68439332719117,-1039.5704285187937,0.5747979611642834,1.4489926147831511e-08,8.101896969980871e-08,4.3969154694956103e-07,0.35102801017264573,0.06185401805255469,0.0
