study,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,hmc_in_K3|raw,16,91,1.07062,1.14624,0.894541,0.612929,0.615826,0.417582,0.758242,0.901099,3.68326
aotizhongxin,hmc_in_K3|raw,17,90,1.03119,1.06335,0.851125,0.592506,0.590423,0.444444,0.777778,0.888889,3.6996
aotizhongxin,hmc_in_K3|raw,18,90,1.04343,1.08875,0.868226,0.601529,0.601032,0.411111,0.755556,0.922222,3.71382
aotizhongxin,hmc_in_K3|raw,19,90,1.06751,1.13958,0.899884,0.621555,0.621726,0.4,0.733333,0.933333,3.72233
aotizhongxin,hmc_in_K3|raw,20,91,1.11736,1.2485,0.951291,0.65318,0.653508,0.351648,0.714286,0.912088,3.73344
aotizhongxin,hmc_in_K3|raw,21,90,1.04945,1.10135,0.908851,0.618035,0.615781,0.388889,0.722222,0.966667,3.74397
aotizhongxin,hmc_in_K3|raw,22,89,1.17187,1.37327,0.988931,0.689436,0.685616,0.337079,0.752809,0.898876,3.75326
aotizhongxin,hmc_in_K3|raw,23,88,1.15829,1.34164,0.996037,0.683241,0.682696,0.386364,0.715909,0.909091,3.75919
aotizhongxin,hmc_in_K3|raw,24,90,1.20675,1.45625,1.02121,0.707391,0.707041,0.377778,0.722222,0.888889,3.76452
aotizhongxin,hmc_in_K3|robust+gate,1,90,0.590838,0.34909,0.474852,0.33375,0.331481,0.411111,0.755556,0.922222,2.3526
aotizhongxin,hmc_in_K3|robust+gate,2,89,0.709839,0.503872,0.572346,0.403732,0.403142,0.325843,0.730337,0.910112,2.64084
aotizhongxin,hmc_in_K3|robust+gate,3,89,0.800689,0.641102,0.645194,0.449401,0.453196,0.393258,0.685393,0.865169,2.80342
aotizhongxin,hmc_in_K3|robust+gate,4,90,0.902332,0.814204,0.744013,0.512826,0.518361,0.344444,0.633333,0.844444,2.925
aotizhongxin,hmc_in_K3|robust+gate,5,88,1.03456,1.07031,0.859527,0.592619,0.601473,0.261364,0.613636,0.818182,3.05148
aotizhongxin,hmc_in_K3|robust+gate,6,90,1.08788,1.18349,0.903855,0.624901,0.63502,0.266667,0.611111,0.8,3.12957
aotizhongxin,hmc_in_K3|robust+gate,7,91,1.11323,1.23928,0.956211,0.650735,0.66218,0.274725,0.571429,0.835165,3.23248
aotizhongxin,hmc_in_K3|robust+gate,8,90,1.15379,1.33123,0.977912,0.672685,0.684154,0.277778,0.555556,0.844444,3.33435
aotizhongxin,hmc_in_K3|robust+gate,9,90,1.14246,1.30522,0.986177,0.660999,0.676628,0.266667,0.555556,0.877778,3.41443
aotizhongxin,hmc_in_K3|robust+gate,10,89,1.15024,1.32305,1.00351,0.668245,0.68366,0.235955,0.58427,0.865169,3.47365
aotizhongxin,hmc_in_K3|robust+gate,11,90,1.11544,1.24422,0.935563,0.637974,0.65154,0.355556,0.577778,0.877778,3.5223
aotizhongxin,hmc_in_K3|robust+gate,12,90,1.11445,1.24199,0.932717,0.632288,0.64358,0.344444,0.633333,0.877778,3.56043
aotizhongxin,hmc_in_K3|robust+gate,13,91,1.03629,1.0739,0.871834,0.590481,0.599751,0.373626,0.714286,0.901099,3.59031
aotizhongxin,hmc_in_K3|robust+gate,14,90,1.06059,1.12486,0.877643,0.606634,0.611112,0.4,0.733333,0.888889,3.618
aotizhongxin,hmc_in_K3|robust+gate,15,91,1.03391,1.06897,0.877352,0.594125,0.59845,0.384615,0.747253,0.901099,3.63877
aotizhongxin,hmc_in_K3|robust+gate,16,91,1.06974,1.14435,0.893387,0.612814,0.615541,0.417582,0.758242,0.901099,3.65774
aotizhongxin,hmc_in_K3|robust+gate,17,90,1.03052,1.06198,0.850355,0.592586,0.590324,0.444444,0.766667,0.888889,3.67517
aotizhongxin,hmc_in_K3|robust+gate,18,90,1.04306,1.08797,0.868066,0.60182,0.601189,0.411111,0.755556,0.911111,3.69046
aotizhongxin,hmc_in_K3|robust+gate,19,90,1.06714,1.13879,0.898367,0.621732,0.621761,0.4,0.733333,0.933333,3.69953
aotizhongxin,hmc_in_K3|robust+gate,20,91,1.11674,1.24711,0.950098,0.653372,0.653618,0.351648,0.714286,0.912088,3.71135
aotizhongxin,hmc_in_K3|robust+gate,21,90,1.04946,1.10136,0.908341,0.618437,0.616121,0.388889,0.722222,0.966667,3.72263
aotizhongxin,hmc_in_K3|robust+gate,22,89,1.17188,1.37331,0.989492,0.690174,0.68625,0.337079,0.741573,0.898876,3.73258
aotizhongxin,hmc_in_K3|robust+gate,23,88,1.15889,1.34302,0.996821,0.684296,0.683658,0.386364,0.715909,0.909091,3.73894
aotizhongxin,hmc_in_K3|robust+gate,24,90,1.20725,1.45746,1.02213,0.708581,0.708165,0.377778,0.711111,0.888889,3.74458
aotizhongxin,hmc_in_K3|robust,1,90,0.590838,0.34909,0.474852,0.33375,0.331481,0.411111,0.755556,0.922222,2.3526
aotizhongxin,hmc_in_K3|robust,2,89,0.709839,0.503872,0.572346,0.403732,0.403142,0.325843,0.730337,0.910112,2.64084
aotizhongxin,hmc_in_K3|robust,3,89,0.800689,0.641102,0.645194,0.449401,0.453196,0.393258,0.685393,0.865169,2.80342
aotizhongxin,hmc_in_K3|robust,4,90,0.902332,0.814204,0.744013,0.512826,0.518361,0.344444,0.633333,0.844444,2.925
aotizhongxin,hmc_in_K3|robust,5,88,1.03456,1.07031,0.859527,0.592619,0.601473,0.261364,0.613636,0.818182,3.05148
aotizhongxin,hmc_in_K3|robust,6,90,1.08788,1.18349,0.903855,0.624901,0.63502,0.266667,0.611111,0.8,3.12957
aotizhongxin,hmc_in_K3|robust,7,91,1.11323,1.23928,0.956211,0.650735,0.66218,0.274725,0.571429,0.835165,3.23248
aotizhongxin,hmc_in_K3|robust,8,90,1.15379,1.33123,0.977912,0.672685,0.684154,0.277778,0.555556,0.844444,3.33435
aotizhongxin,hmc_in_K3|robust,9,90,1.14246,1.30522,0.986177,0.660999,0.676628,0.266667,0.555556,0.877778,3.41443
aotizhongxin,hmc_in_K3|robust,10,89,1.15024,1.32305,1.00351,0.668245,0.683659,0.235955,0.58427,0.865169,3.47365
aotizhongxin,hmc_in_K3|robust,11,90,1.11544,1.24422,0.935563,0.637974,0.65154,0.355556,0.577778,0.877778,3.5223
aotizhongxin,hmc_in_K3|robust,12,90,1.11445,1.24199,0.932717,0.632288,0.64358,0.344444,0.633333,0.877778,3.56043
aotizhongxin,hmc_in_K3|robust,13,91,1.03629,1.0739,0.871834,0.590481,0.599751,0.373626,0.714286,0.901099,3.59031
aotizhongxin,hmc_in_K3|robust,14,90,1.06059,1.12486,0.877643,0.606634,0.611112,0.4,0.733333,0.888889,3.618
aotizhongxin,hmc_in_K3|robust,15,91,1.03391,1.06897,0.877352,0.594125,0.59845,0.384615,0.747253,0.901099,3.63877
aotizhongxin,hmc_in_K3|robust,16,91,1.06974,1.14435,0.893387,0.612814,0.615541,0.417582,0.758242,0.901099,3.65774
aotizhongxin,hmc_in_K3|robust,17,90,1.03052,1.06198,0.850355,0.592586,0.590324,0.444444,0.766667,0.888889,3.67517
aotizhongxin,hmc_in_K3|robust,18,90,1.04306,1.08797,0.868066,0.60182,0.601189,0.411111,0.755556,0.911111,3.69046
aotizhongxin,hmc_in_K3|robust,19,90,1.06714,1.13879,0.898367,0.621732,0.621761,0.4,0.733333,0.933333,3.69953
aotizhongxin,hmc_in_K3|robust,20,91,1.11674,1.24711,0.950098,0.653372,0.653618,0.351648,0.714286,0.912088,3.71135
aotizhongxin,hmc_in_K3|robust,21,90,1.04946,1.10136,0.908341,0.618437,0.616121,0.388889,0.722222,0.966667,3.72263
aotizhongxin,hmc_in_K3|robust,22,89,1.17188,1.37331,0.989492,0.690174,0.68625,0.337079,0.741573,0.898876,3.73258
aotizhongxin,hmc_in_K3|robust,23,88,1.15889,1.34302,0.996821,0.684296,0.683658,0.386364,0.715909,0.909091,3.73894
aotizhongxin,hmc_in_K3|robust,24,90,1.20725,1.45746,1.02213,0.708581,0.708165,0.377778,0.711111,0.888889,3.74458
mote20,hmc_in_K3|raw+gate,1,106,1.31711,1.73477,1.04966,0.7376,0.733073,0.433962,0.764151,0.943396,4.80905
mote20,hmc_in_K3|raw+gate,2,109,1.29585,1.67921,1.03431,0.723847,0.719748,0.431193,0.798165,0.93578,4.81584
mote20,hmc_in_K3|raw+gate,3,105,1.34242,1.80209,1.05969,0.747378,0.74304,0.466667,0.780952,0.933333,4.89473
mote20,hmc_in_K3|raw+gate,4,108,1.37264,1.88414,1.1018,0.765715,0.761615,0.416667,0.777778,0.925926,4.85607
mote20,hmc_in_K3|raw+gate,5,98,1.33043,1.77004,1.06305,0.742679,0.738152,0.459184,0.77551,0.938776,4.89497
mote20,hmc_in_K3|raw+gate,7,106,1.37608,1.8936,1.0979,0.769824,0.765872,0.424528,0.764151,0.924528,4.97073
mote20,hmc_in_K3|raw+gate,9,105,1.31656,1.73334,1.04751,0.735854,0.732078,0.447619,0.761905,0.942857,5.01463
mote20,hmc_in_K3|raw+gate,10,109,1.35728,1.84222,1.08358,0.756492,0.753961,0.431193,0.752294,0.926606,5.00591
mote20,hmc_in_K3|raw+gate,11,106,1.35608,1.83897,1.08588,0.760518,0.756352,0.415094,0.764151,0.933962,5.05838
mote20,hmc_in_K3|raw+gate,12,97,1.34531,1.80986,1.06305,0.747626,0.745135,0.443299,0.793814,0.927835,5.08574
mote20,hmc_in_K3|raw+gate,13,107,1.38934,1.93027,1.09786,0.777467,0.77414,0.439252,0.747664,0.925234,5.14633
mote20,hmc_in_K3|raw+gate,14,105,1.34795,1.81698,1.06803,0.755118,0.752775,0.428571,0.761905,0.942857,5.16749
mote20,hmc_in_K3|raw+gate,15,103,1.39776,1.95374,1.1211,0.786921,0.783565,0.407767,0.757282,0.932039,5.22264
mote20,hmc_in_K3|raw+gate,16,109,1.36158,1.85389,1.08013,0.76391,0.760591,0.449541,0.770642,0.93578,5.27337
mote20,hmc_in_K3|raw+gate,17,104,1.33474,1.78153,1.05889,0.747322,0.743389,0.442308,0.807692,0.932692,5.28276
mote20,hmc_in_K3|raw+gate,18,108,1.33408,1.77977,1.03772,0.739313,0.738056,0.472222,0.824074,0.935185,5.3678
mote20,hmc_in_K3|raw+gate,19,99,1.34865,1.81886,1.05208,0.750231,0.748314,0.454545,0.787879,0.929293,5.35412
mote20,hmc_in_K3|raw+gate,20,97,1.40475,1.97333,1.11229,0.79,0.78595,0.412371,0.773196,0.938144,5.44313
mote20,hmc_in_K3|raw+gate,22,103,1.37559,1.89226,1.07097,0.7639,0.765201,0.446602,0.796117,0.932039,5.56154
mote20,hmc_in_K3|raw+gate,23,107,1.42221,2.02269,1.11809,0.795479,0.794431,0.429907,0.785047,0.925234,5.60935
mote20,hmc_in_K3|raw+gate,24,111,1.41665,2.00689,1.11934,0.794501,0.7922,0.432432,0.774775,0.936937,5.6741
