study,rate,case,method,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,hmc_in_K3|hampel+gate,2157,1.0505,1.1036,0.87567,0.6009,0.60573,0.35002,0.68057,0.88642,3.4101
tsnh4,0,tsnh4__clean,pmc_state_K2|raw+gate,2232,0.38786,0.15043,0.25871,0.19375,0.19261,0.51478,0.73835,0.89158,1.0998
tsnh4,0,tsnh4__clean,pmc_state_K2|raw,2232,0.38786,0.15043,0.25871,0.19375,0.19261,0.51478,0.73835,0.89158,1.0998
tsnh4,0,tsnh4__clean,pmc_state_K2|robust+gate,2232,0.39097,0.15286,0.26109,0.19596,0.19567,0.5,0.71953,0.86649,1.0313
tsnh4,0,tsnh4__clean,pmc_state_K2|robust,2232,0.39068,0.15263,0.26069,0.19541,0.19509,0.49955,0.72401,0.86918,1.03
aotizhongxin,0,aotizhongxin__clean,pmc_pair_K3|raw+gate,2157,1.0086,1.0172,0.79429,0.55663,0.56137,0.34678,0.6662,0.87993,3.0839
aotizhongxin,0,aotizhongxin__clean,pmc_pair_K3|raw,2157,1.0088,1.0177,0.79441,0.5568,0.56152,0.34631,0.66574,0.87993,3.0815
aotizhongxin,0,aotizhongxin__clean,pmc_pair_K3|robust+gate,2157,1.0181,1.0364,0.80226,0.56444,0.5685,0.33611,0.65879,0.87761,3.0872
aotizhongxin,0,aotizhongxin__clean,pmc_pair_K3|robust,2157,1.0181,1.0364,0.80226,0.56444,0.5685,0.33611,0.65879,0.87761,3.0872
mote20,0,mote20__clean,ar1|raw,2508,0.28898,0.083512,0.10712,0.092293,0.092293,0.80662,0.91069,0.95215,0.64032
mote20,0,mote20__clean,ar1|raw+gate,2508,3.4171,11.677,1.7748,1.6165,1.6165,0.64394,0.70774,0.72249,1.5329
mote20,0,mote20__clean,ar1|robust+gate,2508,5.8739,34.502,5.1904,4.9402,4.9402,0.039075,0.074163,0.088517,1.7447
mote20,0,mote20__clean,persistence|raw,2508,0.28945,0.08378,0.10776,0.08269,,0.56898,0.84091,0.95415,0.76476
mote20,0,mote20__raw,ar1|raw,2508,1.6889,2.8524,1.2912,0.96919,0.96919,0.73684,0.97767,1,10.173
mote20,0,mote20__raw,ar1|raw+gate,2508,1.6889,2.8524,1.2912,0.96919,0.96919,0.73684,0.97767,1,10.173
mote20,0,mote20__raw,ar1|robust+gate,2508,5.8739,34.502,5.1904,4.9402,4.9402,0.039075,0.074163,0.088517,1.7447
mote20,0,mote20__raw,persistence|raw,2508,0.28945,0.08378,0.10776,0.082696,,0.56938,0.84131,0.95455,0.76804
aotizhongxin,0,aotizhongxin__clean,ar1|raw,2157,0.99593,0.99189,0.80811,0.56144,0.56144,0.37969,0.74641,0.90913,3.3032
aotizhongxin,0,aotizhongxin__clean,ar1|raw+gate,2157,1.0488,1.1,0.84152,0.58911,0.58911,0.37089,0.73296,0.89383,3.3137
aotizhongxin,0,aotizhongxin__clean,ar1|robust+gate,2157,1.12,1.2545,0.84583,0.63633,0.63633,0.33704,0.5962,0.75892,2.4494
aotizhongxin,0,aotizhongxin__clean,persistence|raw,2157,1.1581,1.3412,0.86215,0.63245,,0.42327,0.69309,0.8943,4.1678
tsnh4,0,tsnh4__clean,ar1|raw,2232,0.3791,0.14372,0.25249,0.1912,0.1912,0.59677,0.806,0.91353,1.2573
tsnh4,0,tsnh4__clean,ar1|raw+gate,2232,0.38514,0.14834,0.25575,0.19424,0.19424,0.59677,0.80332,0.90502,1.2579
tsnh4,0,tsnh4__clean,ar1|robust+gate,2232,0.39191,0.15359,0.26074,0.19885,0.19885,0.51254,0.73118,0.85618,1.0162
tsnh4,0,tsnh4__clean,persistence|raw,2232,0.3999,0.15992,0.26808,0.19818,,0.53539,0.83244,0.99194,1.825
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,ar1|raw,2157,1.1398,1.2992,0.94589,0.64913,0.64913,0.4803,0.84191,0.98099,4.8346
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,ar1|raw+gate,2157,1.1398,1.2992,0.94589,0.64913,0.64913,0.4803,0.84191,0.98099,4.8346
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,ar1|robust+gate,2157,1.1196,1.2535,0.84573,0.63595,0.63595,0.33658,0.59666,0.76032,2.4547
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s0,persistence|raw,2157,1.1581,1.3412,0.86215,0.63112,,0.43023,0.71117,0.93741,4.8005
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,ar1|raw,2157,1.1374,1.2937,0.94443,0.64747,0.64747,0.46639,0.83078,0.97636,4.6864
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,ar1|raw+gate,2157,1.1374,1.2937,0.94443,0.64747,0.64747,0.46639,0.83078,0.97636,4.6864
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,ar1|robust+gate,2157,1.1196,1.2536,0.84569,0.63598,0.63598,0.33704,0.59666,0.76032,2.4537
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s1,persistence|raw,2157,1.1581,1.3412,0.86215,0.63118,,0.43069,0.70793,0.93324,4.6922
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,ar1|raw,2157,1.139,1.2974,0.94405,0.64777,0.64777,0.47334,0.83264,0.97589,4.6963
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,ar1|raw+gate,2157,1.1355,1.2894,0.94315,0.64631,0.64631,0.47149,0.83357,0.97682,4.6969
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,ar1|robust+gate,2157,1.1215,1.2577,0.84808,0.63771,0.63771,0.33611,0.59805,0.758,2.459
aotizhongxin,0.01,aotizhongxin__spikes_r0.01_k6_s2,persistence|raw,2157,1.3281,1.7638,0.92438,0.68843,,0.42513,0.7019,0.92211,4.6888
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,ar1|raw,2157,1.2107,1.4657,0.98136,0.71341,0.71341,0.64441,0.95271,0.99954,6.8943
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,ar1|raw+gate,2157,1.2097,1.4633,0.98051,0.71291,0.71291,0.64534,0.95271,0.99954,6.8946
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,ar1|robust+gate,2157,1.1452,1.3115,0.86091,0.6499,0.6499,0.33565,0.59481,0.75753,2.461
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s0,persistence|raw,2157,1.673,2.7988,1.0615,0.81682,,0.44043,0.76263,0.9847,12.905
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,ar1|raw,2157,1.2181,1.4838,0.98685,0.71921,0.71921,0.64998,0.95225,1,6.9931
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,ar1|raw+gate,2157,1.2146,1.4753,0.98298,0.71747,0.71747,0.65137,0.95271,1,6.9938
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,ar1|robust+gate,2157,1.1304,1.2777,0.85614,0.64397,0.64397,0.33333,0.59017,0.75614,2.4619
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s1,persistence|raw,2157,1.9756,3.9031,1.2478,0.97578,,0.42652,0.74038,0.98609,13.023
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,ar1|raw,2157,1.2182,1.4841,0.98435,0.72032,0.72032,0.65508,0.95225,1,7.0524
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,ar1|raw+gate,2157,1.217,1.4811,0.98282,0.71973,0.71973,0.65554,0.95225,1,7.0529
aotizhongxin,0.05,aotizhongxin__spikes_r0.05_k6_s2,ar1|robust+gate,2157,1.1507,1.3241,0.86169,0.65068,0.65068,0.34446,0.60315,0.75985,2.5007
