series,K,model,strategy,start,N,n_missing,status,error,run_tag,runtime_s,init_s,n_iter,ll_trace_last,n_ll_decreases,max_ll_decrease,ll,n_params,bic,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params,n_warnings,n_regressions_warned,warnings,ll_gap_to_best,agree_with_best,min_margin_sd,y_sd,ll_trace_max,min_pi,degenerate
huairou,2,hmc_in,impute,2,8760,334,ok,,perturbed-2,2.428878624999925,0.015588708003633656,8,-9288.184151211672,0,0.0,-9288.184151211672,6,18630.602767078577,0.4355|0.5645,2.7046|4.6203,0.8405|0.5594,0.9692|0.9762,0:norm;1:norm,,True,0,0,,0.6623455488443142,0.9952054794520548,0.5593964888825189,1.1767602124940608,-9288.184151211672,0.4355,False
huairou,2,hmc_in,sem,0,8760,334,ok,,kmeans,3.2667832500010263,0.016472667000925867,30,-9287.757130921631,9,0.7053088027514605,-9287.628437586682,6,18629.491339828597,0.4498|0.5502,2.7278|4.6334,0.8466|0.5546,0.9692|0.9748,0:norm;1:norm,,True,0,0,,0.1066319238543656,0.9993150684931507,0.5546303101568124,1.1767602124940608,-9287.48320630969,0.4498,False
huairou,2,hmc_in,sem,1,8760,334,ok,,perturbed-1,3.276168249998591,0.016195042000617832,30,-9287.783046567954,11,0.8446643018251052,-9287.521805662827,6,18629.27807598089,0.4506|0.5494,2.7257|4.6321,0.8487|0.5543,0.9707|0.9760,0:norm;1:norm,,True,0,0,,0.0,1.0,0.5542554559549648,1.1767602124940608,-9287.597366953307,0.4506,False
huairou,2,hmc_in,sem,2,8760,334,ok,,perturbed-2,3.26823554099974,0.016169583999726456,30,-9287.978065523072,16,1.297684612312878,-9288.262653609016,6,18630.759771873265,0.4517|0.5483,2.7412|4.6472,0.8479|0.5464,0.9695|0.9749,0:norm;1:norm,,True,0,0,,0.7408479461882962,0.9930365296803653,0.5463859003860901,1.1767602124940608,-9287.526828433512,0.4517,False
huairou,2,pmc_pair,available,0,8760,334,ok,,kmeans,4.832273874999373,0.285174166001525,15,-524.9992554426309,1,0.027705393226483466,-524.9992554426309,14,1176.5455950808073,0.3433|0.6567,2.8241|4.3308,1.1316|0.7988,0.8660|0.9299,00:norm;01:norm;10:norm;11:norm,00:GH(0.718);01:GH(0.524);10:GH(0.503);11:GH(0.890),True,0,0,,23.06180739091542,0.8631278538812786,0.7987853280161155,1.1767602124940608,-524.9715500494044,0.3433,False
huairou,2,pmc_pair,available,1,8760,334,ok,,family-random-1,15.494285834000038,0.26517820799926994,47,-501.9374480517155,0,0.0,-501.9374480517155,14,1130.4219802989765,0.3597|0.6403,3.0484|4.4427,1.1639|0.7128,0.6835|0.8222,00:norm;01:norm;10:norm;11:norm,00:GH(0.579);01:Gauss(0.900);10:GH(0.791);11:GH(0.887),True,1,0,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000.",0.0,1.0,0.7128293285313284,1.1767602124940608,-501.9374480517155,0.3597,False
huairou,2,pmc_pair,available,2,8760,334,ok,,family-random-2,6.741096249999828,0.2763039170022239,21,-525.4538107323301,4,251.31735295017575,-525.4538107323301,14,1177.4547056602057,0.3542|0.6458,2.8784|4.3423,1.1445|0.7902,0.8631|0.9249,00:norm;01:norm;10:norm;11:norm,00:GH(0.734);01:GH(0.525);10:GH(0.507);11:GH(0.891),True,6,4,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000. || ICE iter 3 || ICE iter 18",23.516362680614634,0.8582191780821918,0.790213427250842,1.1767602124940608,-524.2665418330619,0.3542,False
huairou,2,pmc_pair,impute,0,8760,334,ok,,kmeans,24.63756737499716,0.2526723330011009,17,-524.2715664336978,3,1.4225261311164559,-524.2715664336978,14,1175.090217062941,0.3446|0.6554,2.8292|4.3369,1.1385|0.8004,0.8604|0.9266,00:norm;01:norm;10:norm;11:norm,00:GH(0.725);01:GH(0.517);10:GH(0.504);11:GH(0.891),True,2,2,ICE iter 12 || ICE iter 15,22.334118381982307,0.8622146118721461,0.8004426917898467,1.1767602124940608,-522.833368434629,0.3446,False
huairou,2,pmc_pair,impute,1,8760,334,ok,,family-random-1,37.6151255420009,0.2557925000000978,26,-541.0773947508976,0,0.0,-541.0773947508976,14,1208.7018736973407,0.2961|0.7039,2.8395|4.3177,1.1252|0.7980,0.7757|0.9056,00:norm;01:norm;10:norm;11:norm,00:GH(0.604);01:Clayton(0.840);10:GH(0.577);11:GH(0.887),True,1,0,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000.",39.13994669918213,0.8971461187214612,0.7979606564297642,1.1767602124940608,-541.0773947508976,0.2961,False
huairou,2,pmc_pair,impute,2,8760,334,ok,,family-random-2,38.10330804199839,0.23982558300122037,26,-678.1710993794808,3,3.369289765852841,-678.1710993794808,14,1482.889282954507,0.8195|0.1805,4.2031|4.4729,0.9000|0.5340,0.8420|0.2825,00:norm;01:norm;10:norm;11:norm,00:GH(0.894);01:GH(0.541);10:Frank(0.520);11:Frank(0.584),True,5,3,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000. || ICE iter 23 || ICE iter 24",176.2336513277653,0.7794520547945205,0.5340216301726659,1.1767602124940608,-671.8589542526438,0.1805,False
huairou,2,pmc_pair,sem,0,8760,334,ok,,kmeans,10.75498266700015,0.2778583750005055,30,-531.2577566265346,10,9.013957686484787,-530.6052236938046,14,1187.7575315831548,0.3644|0.6356,2.9645|4.3750,1.1617|0.7639,0.8313|0.9033,00:norm;01:norm;10:norm;11:norm,00:GH(0.771);01:GH(0.509);10:GH(0.520);11:GH(0.889),True,0,0,,28.66777564208917,0.8482876712328767,0.7638555985827064,1.1767602124940608,-521.6676470537143,0.3644,False
huairou,2,pmc_pair,sem,1,8760,334,ok,,family-random-1,10.814409124999656,0.27805904100023326,30,-539.3269099985365,9,7.4353481200824945,-538.8970755046165,14,1204.3412352047785,0.3923|0.6077,3.0518|4.3957,1.1753|0.7403,0.8375|0.8951,00:norm;01:norm;10:norm;11:norm,00:GH(0.781);01:GH(0.532);10:GH(0.529);11:GH(0.891),True,1,0,"GH.correct_tau: τ=1.1654 outside valid range [0.0000, 1.0000] — clipped to τ=1.0000.",36.95962745290103,0.8383561643835616,0.7402524004025437,1.1767602124940608,-522.5705407749332,0.3923,False
