series,K,model,strategy,start,subject,fit_on,applied_to,method,err_all,n_all,err_missing,n_missing,err_observed,n_observed,err_real,n_real,err_mcar,n_mcar,conf_missing,time_s
pamap2_102_complete,2,pmc_pair,complete,2,102,complete,gapped,marginalise,0.08086560364464693,5268,0.00686106346483705,583.0,0.09007470651013874,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9052296793680303,0.08340925000084098
pamap2_102_complete,2,pmc_pair,complete,2,102,complete,gapped,plugin,0.08086560364464693,5268,0.00686106346483705,583.0,0.09007470651013874,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9940760347426232,
pamap2_102_complete,2,pmc_state,complete,0,102,complete,complete,complete,0.15318906605922553,5268,,,,,,,,,,
pamap2_102_complete,2,pmc_state,complete,0,102,complete,gapped,linear,0.14901290812452544,5268,0.14408233276157806,583.0,0.1496264674493063,4685.0,0.0,159.0,0.19811320754716982,424.0,0.9999487851109816,
pamap2_102_complete,2,pmc_state,complete,0,102,complete,gapped,locf,0.13743356112376615,5268,0.03945111492281304,583.0,0.1496264674493063,4685.0,0.0,159.0,0.054245283018867926,424.0,0.9790247926936633,
pamap2_102_complete,2,pmc_state,complete,0,102,complete,gapped,marginalise,0.15110098709187547,5268,0.16123499142367068,583.0,0.14983991462113128,4685.0,0.0,159.0,0.22169811320754718,424.0,0.9376400196823973,0.07774849999987055
pamap2_102_complete,2,pmc_state,complete,0,102,complete,gapped,plugin,0.15318906605922553,5268,0.1783876500857633,583.0,0.15005336179295625,4685.0,0.0,159.0,0.24528301886792453,424.0,0.9996398298731914,
pamap2_102_complete,2,pmc_state,complete,1,102,complete,complete,complete,0.08219438116932422,5268,,,,,,,,,,
pamap2_102_complete,2,pmc_state,complete,1,102,complete,gapped,linear,0.07498101746393318,5268,0.00686106346483705,583.0,0.08345784418356457,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9958556531168894,
pamap2_102_complete,2,pmc_state,complete,1,102,complete,gapped,locf,0.07422171602126044,5268,0.0,583.0,0.08345784418356457,4685.0,0.0,159.0,0.0,424.0,0.9997490416578251,
pamap2_102_complete,2,pmc_state,complete,1,102,complete,gapped,marginalise,0.07498101746393318,5268,0.00686106346483705,583.0,0.08345784418356457,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9087265564087434,0.07227279200014891
pamap2_102_complete,2,pmc_state,complete,1,102,complete,gapped,plugin,0.07498101746393318,5268,0.00686106346483705,583.0,0.08345784418356457,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9999882019472678,
pamap2_102_complete,2,pmc_state,complete,2,102,complete,complete,complete,0.0630220197418375,5268,,,,,,,,,,
pamap2_102_complete,2,pmc_state,complete,2,102,complete,gapped,linear,0.057517084282460135,5268,0.00686106346483705,583.0,0.06382070437566702,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9999903941076704,
pamap2_102_complete,2,pmc_state,complete,2,102,complete,gapped,locf,0.057517084282460135,5268,0.00686106346483705,583.0,0.06382070437566702,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9996023060451161,
pamap2_102_complete,2,pmc_state,complete,2,102,complete,gapped,marginalise,0.057517084282460135,5268,0.00686106346483705,583.0,0.06382070437566702,4685.0,0.0,159.0,0.009433962264150943,424.0,0.952026279843986,0.07462137500260724
pamap2_102_complete,2,pmc_state,complete,2,102,complete,gapped,plugin,0.057517084282460135,5268,0.00686106346483705,583.0,0.06382070437566702,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9999925561716111,
pamap2_102_complete,3,hmc_in,complete,0,102,complete,complete,complete,0.38629460895975704,5268,,,,,,,,,,
pamap2_102_complete,3,hmc_in,complete,0,102,complete,gapped,linear,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9987033284190922,
pamap2_102_complete,3,hmc_in,complete,0,102,complete,gapped,locf,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9985772873240025,
pamap2_102_complete,3,hmc_in,complete,0,102,complete,gapped,marginalise,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.8526943188844366,0.03941454099913244
pamap2_102_complete,3,hmc_in,complete,0,102,complete,gapped,plugin,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9995880588802475,
pamap2_102_complete,3,hmc_in,complete,1,102,complete,complete,complete,0.38629460895975704,5268,,,,,,,,,,
pamap2_102_complete,3,hmc_in,complete,1,102,complete,gapped,linear,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9986947268923048,
pamap2_102_complete,3,hmc_in,complete,1,102,complete,gapped,locf,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.998570534200291,
pamap2_102_complete,3,hmc_in,complete,1,102,complete,gapped,marginalise,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.8529835439810248,0.03936199999952805
pamap2_102_complete,3,hmc_in,complete,1,102,complete,gapped,plugin,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9995917652076028,
pamap2_102_complete,3,hmc_in,complete,2,102,complete,complete,complete,0.38629460895975704,5268,,,,,,,,,,
pamap2_102_complete,3,hmc_in,complete,2,102,complete,gapped,linear,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9987084069357126,
pamap2_102_complete,3,hmc_in,complete,2,102,complete,gapped,locf,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9985758743031012,
pamap2_102_complete,3,hmc_in,complete,2,102,complete,gapped,marginalise,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.8525877556808307,0.041059791001316626
pamap2_102_complete,3,hmc_in,complete,2,102,complete,gapped,plugin,0.38629460895975704,5268,0.5437392795883362,583.0,0.36670224119530415,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9995866938817889,
pamap2_102_complete,3,pmc_pair,complete,0,102,complete,complete,complete,0.42425968109339407,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_pair,complete,0,102,complete,gapped,linear,0.4286256643887623,5268,0.4339622641509434,583.0,0.4279615795090715,4685.0,0.25157232704402516,159.0,0.5023584905660378,424.0,0.8308201624415424,
pamap2_102_complete,3,pmc_pair,complete,0,102,complete,gapped,locf,0.4398253606681853,5268,0.5334476843910806,583.0,0.42817502668089646,4685.0,0.2830188679245283,159.0,0.6273584905660378,424.0,0.7768185882226571,
pamap2_102_complete,3,pmc_pair,complete,0,102,complete,gapped,marginalise,0.438496583143508,5268,0.5180102915951973,583.0,0.4286019210245464,4685.0,0.2578616352201258,159.0,0.6155660377358491,424.0,0.6701458859172074,0.1047069999985979
pamap2_102_complete,3,pmc_pair,complete,0,102,complete,gapped,plugin,0.4267274107820805,5268,0.4339622641509434,583.0,0.4258271077908218,4685.0,0.23270440251572327,159.0,0.5094339622641509,424.0,0.7936314199694485,
pamap2_102_complete,3,pmc_pair,complete,1,102,complete,complete,complete,0.35288534548215644,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_pair,complete,1,102,complete,gapped,linear,0.3545937737281701,5268,0.38593481989708406,583.0,0.35069370330843114,4685.0,0.3522012578616352,159.0,0.39858490566037735,424.0,0.9239530123943127,
pamap2_102_complete,3,pmc_pair,complete,1,102,complete,gapped,locf,0.3568716780561883,5268,0.39451114922813035,583.0,0.35218783351120597,4685.0,0.27044025157232704,159.0,0.4410377358490566,424.0,0.8758029151857835,
pamap2_102_complete,3,pmc_pair,complete,1,102,complete,gapped,marginalise,0.3492786636294609,5268,0.29845626072041165,583.0,0.35560298826040554,4685.0,0.32075471698113206,159.0,0.29009433962264153,424.0,0.8556432798195835,0.10654383399742073
pamap2_102_complete,3,pmc_pair,complete,1,102,complete,gapped,plugin,0.35041761579347,5268,0.31046312178387653,583.0,0.35538954108858056,4685.0,0.389937106918239,159.0,0.2806603773584906,424.0,0.9573627190511915,
pamap2_102_complete,3,pmc_pair,complete,2,102,complete,complete,complete,0.4069855732725892,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_pair,complete,2,102,complete,gapped,linear,0.3925588458618071,5268,0.4065180102915952,583.0,0.39082177161152615,4685.0,0.37735849056603776,159.0,0.41745283018867924,424.0,0.8961247521539015,
pamap2_102_complete,3,pmc_pair,complete,2,102,complete,gapped,locf,0.3916097190584662,5268,0.3927958833619211,583.0,0.3914621131270011,4685.0,0.3270440251572327,159.0,0.41745283018867924,424.0,0.8836416695931901,
pamap2_102_complete,3,pmc_pair,complete,2,102,complete,gapped,marginalise,0.39863325740318906,5268,0.4288164665523156,583.0,0.39487726787620064,4685.0,0.41509433962264153,159.0,0.4339622641509434,424.0,0.7819951893862841,0.10740791599891963
pamap2_102_complete,3,pmc_pair,complete,2,102,complete,gapped,plugin,0.40907365223993924,5268,0.483704974271012,583.0,0.39978655282817505,4685.0,0.4968553459119497,159.0,0.47877358490566035,424.0,0.9292073823132043,
pamap2_102_complete,3,pmc_state,complete,0,102,complete,complete,complete,0.3952164009111617,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_state,complete,0,102,complete,gapped,linear,0.3952164009111617,5268,0.5437392795883362,583.0,0.3767342582710779,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9985347669496741,
pamap2_102_complete,3,pmc_state,complete,0,102,complete,gapped,locf,0.3952164009111617,5268,0.5437392795883362,583.0,0.3767342582710779,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9995113899983635,
pamap2_102_complete,3,pmc_state,complete,0,102,complete,gapped,marginalise,0.39635535307517084,5268,0.5437392795883362,583.0,0.37801494130202773,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9284021592451235,0.09444608299963875
pamap2_102_complete,3,pmc_state,complete,0,102,complete,gapped,plugin,0.3952164009111617,5268,0.5437392795883362,583.0,0.3767342582710779,4685.0,0.710691823899371,159.0,0.4811320754716981,424.0,0.9993806483583378,
pamap2_102_complete,3,pmc_state,complete,1,102,complete,complete,complete,0.36161731207289294,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_state,complete,1,102,complete,gapped,linear,0.35497342444950647,5268,0.38421955403087477,583.0,0.35133404482390607,4685.0,0.2893081761006289,159.0,0.419811320754717,424.0,0.9791330630115311,
pamap2_102_complete,3,pmc_state,complete,1,102,complete,gapped,locf,0.36256643887623385,5268,0.4339622641509434,583.0,0.3536819637139808,4685.0,0.3081761006289308,159.0,0.4811320754716981,424.0,0.9798181978865896,
pamap2_102_complete,3,pmc_state,complete,1,102,complete,gapped,marginalise,0.35402429764616555,5268,0.3361921097770154,583.0,0.35624332977588047,4685.0,0.33962264150943394,159.0,0.33490566037735847,424.0,0.9000840481309554,0.09292808399914065
pamap2_102_complete,3,pmc_state,complete,1,102,complete,gapped,plugin,0.36161731207289294,5268,0.3704974271012007,583.0,0.36051227321237994,4685.0,0.4528301886792453,159.0,0.33962264150943394,424.0,0.9962811243130412,
pamap2_102_complete,3,pmc_state,complete,2,102,complete,complete,complete,0.36161731207289294,5268,,,,,,,,,,
pamap2_102_complete,3,pmc_state,complete,2,102,complete,gapped,linear,0.35364464692482916,5268,0.38421955403087477,583.0,0.3498399146211313,4685.0,0.2893081761006289,159.0,0.419811320754717,424.0,0.9772167407590843,
pamap2_102_complete,3,pmc_state,complete,2,102,complete,gapped,locf,0.36161731207289294,5268,0.4339622641509434,583.0,0.3526147278548559,4685.0,0.3081761006289308,159.0,0.4811320754716981,424.0,0.9780381657892785,
pamap2_102_complete,3,pmc_state,complete,2,102,complete,gapped,marginalise,0.358580106302202,5268,0.3602058319039451,583.0,0.3583778014941302,4685.0,0.4088050314465409,159.0,0.3419811320754717,424.0,0.8972620976694247,0.09190450000096462
pamap2_102_complete,3,pmc_state,complete,2,102,complete,gapped,plugin,0.36161731207289294,5268,0.3704974271012007,583.0,0.36051227321237994,4685.0,0.4528301886792453,159.0,0.33962264150943394,424.0,0.9971180569898881,
pamap2_102_gapped,2,hmc_in,available,0,102,gapped,complete,complete,0.10535307517084283,5268,,,,,,,,,,
pamap2_102_gapped,2,hmc_in,available,0,102,gapped,gapped,linear,0.09643128321943811,5268,0.04631217838765009,583.0,0.10266808964781217,4685.0,0.0,159.0,0.06367924528301887,424.0,0.9960096896737224,
