task_id,task,wall_s
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s3__fc7259d9,cv,19.084037582997553
cv__aotizhongxin__model__pmc_pair__r0.05__b1__s4__a86dce94,cv,19.105022084000666
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s0__af728780,cv,17.13642774999971
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s1__f48bce56,cv,39.609859375003
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s2__9246e17f,cv,40.62323683300201
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s3__b9287366,cv,41.09410095799831
cv__aotizhongxin__model__pmc_pair__r0.05__b48__s4__f55c0729,cv,38.81489783299912
cv__aotizhongxin__model__pmc_pair__r0.05__b6__s0__aaf29d26,cv,40.836933250000584
cv__aotizhongxin__model__pmc_pair__r0.05__b6__s1__8e164969,cv,38.077907667000545
cv__aotizhongxin__model__pmc_pair__r0.05__b6__s2__f89309bc,cv,19.191313832998276
cv__aotizhongxin__model__pmc_pair__r0.05__b6__s3__5c57bf89,cv,22.257234749999043
cv__aotizhongxin__model__pmc_pair__r0.05__b6__s4__334acb79,cv,41.898771500000294
cv__aotizhongxin__model__pmc_pair__r0.2__b1__s0__c09d3b41,cv,16.3452527499976
cv__aotizhongxin__model__pmc_pair__r0.2__b1__s1__13a125e8,cv,39.372129584000504
cv__aotizhongxin__model__pmc_pair__r0.2__b1__s2__32ff2647,cv,41.80059666700254
cv__aotizhongxin__model__pmc_pair__r0.2__b1__s3__ff78afc7,cv,40.19887945799928
cv__aotizhongxin__model__pmc_pair__r0.2__b1__s4__df32c12a,cv,19.469920499999716
cv__aotizhongxin__model__pmc_pair__r0.2__b48__s0__4c69252f,cv,16.95776774999831
cv__aotizhongxin__model__pmc_pair__r0.2__b48__s1__4d4fb1f4,cv,44.40216383400184
cv__aotizhongxin__model__pmc_pair__r0.2__b48__s2__d03db281,cv,17.123160667000775
cv__aotizhongxin__model__pmc_pair__r0.2__b48__s3__f2b9d30c,cv,39.364846583001054
cv__aotizhongxin__model__pmc_pair__r0.2__b48__s4__10b23af9,cv,42.73373087499931
cv__aotizhongxin__model__pmc_pair__r0.2__b6__s0__d756cdf3,cv,43.844622290998814
cv__aotizhongxin__model__pmc_pair__r0.2__b6__s1__0ac4a077,cv,38.31689958300194
cv__aotizhongxin__model__pmc_pair__r0.2__b6__s2__0b99ab83,cv,41.25602966700171
cv__aotizhongxin__model__pmc_pair__r0.2__b6__s3__eaea0455,cv,17.3443541250017
cv__aotizhongxin__model__pmc_pair__r0.2__b6__s4__a116082b,cv,43.117888666998624
cv__huairou__baselines____r0.05__b1__s0__f060318f,cv,0.01056395799969323
cv__huairou__baselines____r0.05__b1__s1__31dfb189,cv,0.014802792000409681
cv__huairou__baselines____r0.05__b1__s2__8ab20796,cv,0.010447541000758065
cv__huairou__baselines____r0.05__b1__s3__912507b4,cv,0.020012417000543792
cv__huairou__baselines____r0.05__b1__s4__156b2e23,cv,0.018484416999854147
cv__huairou__baselines____r0.05__b48__s0__fc5e82fd,cv,0.00957774999915273
cv__huairou__baselines____r0.05__b48__s1__f7205285,cv,0.015295749999495456
cv__huairou__baselines____r0.05__b48__s2__42b35478,cv,0.012271584000700386
cv__huairou__baselines____r0.05__b48__s3__a035a745,cv,0.018251541998324683
cv__huairou__baselines____r0.05__b48__s4__e2d7d956,cv,0.015485040999919875
cv__huairou__baselines____r0.05__b6__s0__76ebb9d6,cv,0.017748625003150664
cv__huairou__baselines____r0.05__b6__s1__9f142b03,cv,0.013337500000488944
cv__huairou__baselines____r0.05__b6__s2__e987fc3d,cv,0.01562575000207289
cv__huairou__baselines____r0.05__b6__s3__f39c67e9,cv,0.01780825000241748
cv__huairou__baselines____r0.05__b6__s4__f0ec3481,cv,0.01521883399982471
cv__huairou__baselines____r0.2__b1__s0__b045b0d6,cv,0.018630374997883337
cv__huairou__baselines____r0.2__b1__s1__da534dbc,cv,0.00880295900060446
cv__huairou__baselines____r0.2__b1__s2__b9f83099,cv,0.01579900000069756
cv__huairou__baselines____r0.2__b1__s3__3c4c6a40,cv,0.012977291997231077
cv__huairou__baselines____r0.2__b1__s4__c2b739e3,cv,0.018674625000130618
cv__huairou__baselines____r0.2__b48__s0__5e49a736,cv,0.01344483299908461
cv__huairou__baselines____r0.2__b48__s1__ed8454f8,cv,0.014580833001673454
cv__huairou__baselines____r0.2__b48__s2__b21ac4ba,cv,0.015930500001559267
cv__huairou__baselines____r0.2__b48__s3__be1b01a2,cv,0.014945791001082398
cv__huairou__baselines____r0.2__b48__s4__08a2e90b,cv,0.017034208998666145
cv__huairou__baselines____r0.2__b6__s0__994b5605,cv,0.005697500000678701
cv__huairou__baselines____r0.2__b6__s1__ab78c9f6,cv,0.014454083000600804
cv__huairou__baselines____r0.2__b6__s2__bae66d9d,cv,0.019309582999994745
cv__huairou__baselines____r0.2__b6__s3__73efa023,cv,0.013432083000225248
cv__huairou__baselines____r0.2__b6__s4__8a46959f,cv,0.013091916000121273
cv__huairou__model__hmc_in__r0.05__b1__s0__280230b2,cv,1.0899438329979603
cv__huairou__model__hmc_in__r0.05__b1__s1__89bbf5b7,cv,1.0950718329986557
cv__huairou__model__hmc_in__r0.05__b1__s2__d5c9b2ce,cv,1.0515999590024876
cv__huairou__model__hmc_in__r0.05__b1__s3__452d5c83,cv,1.0758891670011508
cv__huairou__model__hmc_in__r0.05__b1__s4__b8402b0d,cv,1.0855783750012051
cv__huairou__model__hmc_in__r0.05__b48__s0__e41514fe,cv,1.0611648749982123
cv__huairou__model__hmc_in__r0.05__b48__s1__26d71636,cv,1.0703664160027984
cv__huairou__model__hmc_in__r0.05__b48__s2__66a8382b,cv,1.1212685409991536
cv__huairou__model__hmc_in__r0.05__b48__s3__14f9667a,cv,1.0692711249976128
cv__huairou__model__hmc_in__r0.05__b48__s4__45da4085,cv,1.078525292003178
cv__huairou__model__hmc_in__r0.05__b6__s0__e4e6266a,cv,1.2114591659992584
cv__huairou__model__hmc_in__r0.05__b6__s1__7066ff2b,cv,1.034307958001591
cv__huairou__model__hmc_in__r0.05__b6__s2__91af54fc,cv,1.025175709000905
cv__huairou__model__hmc_in__r0.05__b6__s3__7c1272f9,cv,1.0641374580009142
cv__huairou__model__hmc_in__r0.05__b6__s4__410c51a2,cv,1.070516415999009
cv__huairou__model__hmc_in__r0.2__b1__s0__44a8922d,cv,1.222416290998808
cv__huairou__model__hmc_in__r0.2__b1__s1__312185bb,cv,1.1685882499987201
cv__huairou__model__hmc_in__r0.2__b1__s2__a956f36a,cv,1.1858352919989557
cv__huairou__model__hmc_in__r0.2__b1__s3__fbcd0e19,cv,1.1471165000002657
cv__huairou__model__hmc_in__r0.2__b1__s4__d98b0986,cv,1.220204624998587
