series,subject,K,model,strategy,start,fit_on,applied_to,method,err_all,n_all,ll_complete,copulas,mean_sorted,n_warnings,err_missing,n_missing,err_observed,n_observed,err_real,n_real,err_mcar,n_mcar,conf_missing,time_s
pamap2_102_oracle,102,3,hmc_in,supervised,0,labels,gapped,plugin,0.12186788154897495,5268,,,-1.5981|0.6773|1.4449,0,0.00686106346483705,583.0,0.13617929562433298,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9999997783816514,
pamap2_102_oracle,102,3,pmc_pair,supervised,0,labels,complete,complete,0.06681852695520121,5268,-6801.836835033224,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.553);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.558),-1.5968|0.6827|1.4500,0,,,,,,,,,,
pamap2_102_oracle,102,3,pmc_pair,supervised,0,labels,gapped,linear,0.06662870159453303,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.553);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.558),-1.5968|0.6827|1.4500,0,0.00686106346483705,583.0,0.07406616862326575,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9852586128325053,
pamap2_102_oracle,102,3,pmc_pair,supervised,0,labels,gapped,locf,0.06643887623386484,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.553);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.558),-1.5968|0.6827|1.4500,0,0.0,583.0,0.07470651013874066,4685.0,0.0,159.0,0.0,424.0,0.9545787478766997,
pamap2_102_oracle,102,3,pmc_pair,supervised,0,labels,gapped,marginalise,0.06757782839787396,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.553);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.558),-1.5968|0.6827|1.4500,0,0.00686106346483705,583.0,0.07513340448239061,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9808828615967471,0.11351095799909672
pamap2_102_oracle,102,3,pmc_pair,supervised,0,labels,gapped,plugin,0.06397114654517844,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.553);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.558),-1.5968|0.6827|1.4500,0,0.0,583.0,0.07193169690501601,4685.0,0.0,159.0,0.0,424.0,0.9994048449607437,
pamap2_102_oracle,102,3,pmc_state,supervised,0,labels,complete,complete,0.1571753986332574,5268,-6714.500686367688,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.557);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.563),-1.5981|0.6773|1.4449,0,,,,,,,,,,
pamap2_102_oracle,102,3,pmc_state,supervised,0,labels,gapped,linear,0.20064540622627183,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.557);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.563),-1.5981|0.6773|1.4449,0,0.1423670668953688,583.0,0.207897545357524,4685.0,0.11949685534591195,159.0,0.1509433962264151,424.0,0.9347932492894423,
pamap2_102_oracle,102,3,pmc_state,supervised,0,labels,gapped,locf,0.15394836750189825,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.557);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.563),-1.5981|0.6773|1.4449,0,0.0,583.0,0.17310565635005337,4685.0,0.0,159.0,0.0,424.0,0.9616368425945147,
pamap2_102_oracle,102,3,pmc_state,supervised,0,labels,gapped,marginalise,0.154707668944571,5268,,00:Clayton(0.743);01:Gauss(0.300);02:Gauss(0.300);10:Gauss(0.300);11:Gauss(0.557);12:Gauss(0.300);20:Gauss(0.300);21:Gauss(0.300);22:GH(0.563),-1.5981|0.6773|1.4449,0,0.00686106346483705,583.0,0.17310565635005337,4685.0,0.0,159.0,0.009433962264150943,424.0,0.9984855225872208,0.09571179200065671
