i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,0/100,0.731
0,1,GH,0.400,53/100,0.317
1,0,GH,0.400,59/100,0.320
1,1,Clayton,0.700,0/100,0.576

sup_err_mean (%),20.17
sup_err_std (%),1.24
unsup_err_mean (%),30.99
unsup_err_std (%),1.50
