"# Exp #2 — PMM (i.i.d.), τ=0.16, margins=gamma, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,13.74 (0.9),13.96 (0.9),13.90 (0.8),13.75 (0.8),13.94 (0.9),14.09 (0.9),14.37 (0.9)
c1,16.42 (1.0),16.32 (1.0),16.40 (1.0),16.39 (1.0),16.31 (1.0),16.34 (1.0),16.40 (0.9)
c2,16.22 (0.9),16.27 (0.9),15.95 (0.8),16.20 (0.9),16.25 (0.9),16.48 (1.0),16.30 (0.8)
c3,16.43 (1.2),16.44 (1.2),16.53 (1.2),16.41 (1.2),16.44 (1.2),16.55 (1.2),16.75 (1.3)
c4,16.75 (1.2),16.60 (1.2),16.68 (1.2),16.72 (1.2),16.63 (1.2),16.64 (1.2),16.71 (1.1)
c5,16.73 (1.0),16.45 (1.0),16.70 (0.9),16.59 (1.0),16.47 (1.0),16.44 (1.0),16.58 (1.0)
c6,16.35 (1.0),16.02 (1.0),16.12 (1.0),16.20 (1.0),16.01 (1.0),16.09 (1.1),15.97 (1.0)
