"# Exp #2 — PMM (i.i.d.), τ=0.16, margins=gauss, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,17.95 (0.9),17.97 (0.9),17.98 (0.9),18.05 (0.8),17.99 (0.9),18.23 (1.0),18.12 (1.1)
c1,20.09 (1.1),20.06 (1.0),20.17 (1.1),20.19 (1.1),20.13 (1.0),20.15 (1.0),20.20 (1.0)
c2,19.15 (1.0),19.31 (1.0),19.11 (1.0),19.22 (1.0),19.36 (1.0),19.54 (1.0),19.46 (1.1)
c3,19.84 (0.9),19.89 (0.9),19.85 (0.9),19.75 (0.9),19.94 (0.9),20.07 (0.9),20.18 (0.9)
c4,20.85 (1.4),20.79 (1.4),20.89 (1.5),20.83 (1.3),20.78 (1.4),20.73 (1.4),20.88 (1.4)
c5,20.87 (1.1),20.71 (1.1),20.85 (1.1),20.77 (1.1),20.71 (1.0),20.71 (1.0),20.74 (1.0)
c6,19.57 (1.1),19.52 (1.0),19.61 (1.0),19.80 (1.1),19.49 (1.0),19.55 (1.0),19.39 (1.1)
