"# Exp #1 — PMC supervised, τ=0.7, margins=gauss, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,10.76 (0.9),41.40 (0.9),30.25 (0.9),40.61 (1.7),46.73 (1.8),35.72 (1.1),36.30 (1.1)
c1,25.22 (2.5),20.68 (1.8),21.96 (1.9),24.49 (2.2),26.22 (1.7),22.48 (2.0),22.50 (1.9)
c2,24.08 (2.1),23.21 (2.5),22.45 (2.4),24.88 (2.7),27.11 (2.6),23.47 (2.5),23.53 (2.6)
c3,24.69 (1.9),23.47 (1.9),22.78 (1.7),18.07 (1.9),33.73 (1.9),27.35 (1.9),19.37 (1.8)
c6,27.18 (2.1),25.76 (2.2),24.84 (2.2),36.00 (2.3),10.42 (1.4),17.52 (1.7),31.84 (2.3)
c7,24.94 (1.9),22.98 (2.4),22.32 (2.1),26.69 (2.4),23.78 (2.4),21.42 (2.0),24.22 (2.2)
c8,24.56 (2.5),22.34 (2.8),22.00 (2.6),21.50 (2.5),29.64 (2.7),23.80 (2.8),20.76 (2.6)
