"# Exp #1 — PMC supervised, τ=0.7, margins=gamma, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,8.01 (0.7),45.12 (2.1),30.94 (1.8),35.72 (1.4),46.02 (2.4),37.90 (1.9),35.78 (1.5)
c1,22.81 (2.4),13.78 (2.0),14.92 (2.1),16.26 (2.1),18.05 (2.1),14.98 (2.2),14.71 (2.1)
c2,22.64 (2.6),16.37 (2.2),15.27 (2.0),17.35 (2.1),17.58 (2.1),15.50 (1.9),16.01 (2.0)
c3,22.36 (2.4),19.20 (2.4),19.77 (2.2),17.84 (2.2),23.27 (2.3),20.23 (2.3),18.52 (2.2)
c6,23.72 (2.2),12.24 (1.9),9.35 (1.6),17.49 (2.3),6.85 (1.2),8.61 (1.5),12.58 (1.7)
c7,21.85 (2.3),14.07 (2.3),13.19 (2.2),15.98 (2.4),14.64 (2.3),13.04 (2.3),13.81 (2.4)
c8,22.69 (2.1),17.34 (2.0),17.19 (2.0),17.68 (2.3),20.24 (2.1),17.41 (2.0),16.80 (2.0)
