i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.243
0,1,CubSec,0.100,64/100,0.114
1,0,CubSec,0.100,56/100,0.119
1,1,Clayton,0.200,97/100,0.195

sup_err_mean (%),10.52
sup_err_std (%),0.98
unsup_err_mean (%),10.65
unsup_err_std (%),1.00
