i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.232
0,1,CubSec,0.100,26/100,0.109
1,0,CubSec,0.100,21/100,0.115
1,1,Clayton,0.200,79/100,0.171

sup_err_mean (%),20.70
sup_err_std (%),0.97
unsup_err_mean (%),20.93
unsup_err_std (%),0.93
