i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.231
0,1,CubSec,0.100,31/100,0.110
1,0,CubSec,0.100,25/100,0.117
1,1,Clayton,0.200,71/100,0.171

sup_err_mean (%),20.70
sup_err_std (%),0.97
unsup_err_mean (%),20.94
unsup_err_std (%),0.93
