i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.232
0,1,CubSec,0.100,65/100,0.111
1,0,CubSec,0.100,62/100,0.116
1,1,Clayton,0.200,77/100,0.173

sup_err_mean (%),20.70
sup_err_std (%),0.97
unsup_err_mean (%),20.92
unsup_err_std (%),0.91
