"# Exp #2 — PMM (i.i.d.), τ=0.7, margins=gauss, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,17.95 (0.9),30.85 (0.9),26.40 (0.8),30.46 (0.9),36.02 (1.2),29.06 (0.9),29.46 (0.8)
c1,24.74 (1.4),23.25 (1.3),23.49 (1.4),24.29 (1.4),26.58 (1.0),23.65 (1.3),23.69 (1.4)
c2,24.62 (1.2),23.92 (1.1),23.89 (1.1),24.54 (1.3),26.78 (1.2),23.98 (1.1),24.12 (1.2)
c3,24.68 (1.0),23.86 (0.9),23.91 (0.9),23.00 (1.1),29.70 (1.3),24.66 (1.0),23.36 (1.1)
c6,25.56 (1.3),24.18 (1.3),24.02 (1.2),27.78 (1.2),20.16 (1.0),23.27 (1.3),25.83 (1.1)
c7,24.05 (1.0),23.34 (1.1),23.30 (1.1),24.52 (1.1),25.67 (1.1),23.14 (1.1),23.60 (1.1)
c8,24.59 (1.1),23.73 (1.0),23.77 (1.0),23.73 (1.2),28.01 (1.2),24.05 (1.0),23.46 (1.0)
