"# Exp #1 — PMC supervised, τ=0.16, margins=gauss, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,10.76 (0.9),10.82 (0.9),11.33 (1.0),10.97 (1.0),10.97 (0.9),11.22 (1.0),11.28 (0.9)
c1,13.85 (1.1),13.66 (1.1),14.12 (1.1),13.85 (1.1),13.72 (1.1),13.83 (1.1),13.93 (1.2)
c2,13.40 (1.3),13.35 (1.4),12.94 (1.2),13.29 (1.2),13.49 (1.4),13.94 (1.4),13.56 (1.2)
c3,13.66 (1.1),13.60 (1.1),13.82 (1.1),13.52 (1.1),13.76 (1.1),13.89 (1.1),14.15 (1.2)
c4,14.27 (1.0),14.13 (1.0),14.83 (1.0),14.46 (1.0),14.14 (1.0),14.22 (1.1),14.43 (1.0)
c5,14.18 (1.2),13.90 (1.1),14.87 (1.2),14.28 (1.0),13.84 (1.2),13.81 (1.2),14.26 (1.2)
c6,13.74 (1.1),13.58 (1.2),14.04 (1.2),14.18 (1.2),13.63 (1.2),13.68 (1.2),13.18 (1.2)
