i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.233
0,1,CubSec,0.100,28/100,0.107
1,0,CubSec,0.100,32/100,0.114
1,1,Clayton,0.200,84/100,0.171

sup_err_mean (%),20.70
sup_err_std (%),0.97
unsup_err_mean (%),20.93
unsup_err_std (%),0.94
