i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.243
0,1,CubSec,0.100,14/100,0.117
1,0,CubSec,0.100,15/100,0.121
1,1,Clayton,0.200,98/100,0.194

sup_err_mean (%),10.52
sup_err_std (%),0.98
unsup_err_mean (%),10.64
unsup_err_std (%),0.99
