"# Exp #2 — PMM (i.i.d.), τ=0.7, margins=gamma, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,13.74 (0.9),31.05 (0.9),24.57 (0.9),28.07 (0.9),34.52 (1.2),28.84 (1.0),27.93 (0.9)
c1,22.89 (1.1),19.55 (1.0),19.97 (1.0),20.40 (1.1),21.28 (1.1),20.00 (1.1),19.85 (1.0)
c2,22.41 (1.1),20.21 (1.1),20.07 (1.1),20.72 (1.0),21.28 (1.3),20.18 (1.1),20.10 (1.1)
c3,22.54 (1.3),22.17 (1.3),22.07 (1.4),21.61 (1.2),24.14 (1.4),22.44 (1.3),21.78 (1.3)
c6,23.12 (1.2),16.84 (1.1),16.21 (1.0),19.72 (1.1),13.56 (1.0),15.60 (1.1),17.48 (1.1)
c7,22.50 (1.1),18.94 (0.9),18.68 (0.9),20.19 (0.8),19.55 (0.9),18.57 (0.9),18.96 (0.9)
c8,23.10 (1.3),21.38 (1.3),21.28 (1.1),21.43 (1.1),23.01 (1.3),21.46 (1.3),21.13 (1.2)
