i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,30/30,0.694
0,1,GH,0.400,18/30,0.384
1,0,GH,0.400,14/30,0.395
1,1,Clayton,0.700,30/30,0.692

sup_err_mean (%),20.42
sup_err_std (%),1.39
unsup_err_mean (%),20.92
unsup_err_std (%),1.36
