run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Gauss,Gauss,1,0.7009,sweep:Clayton/Gauss
0,3000,0,1,GH,Gauss,0,0.4828,sweep:Clayton/Gauss
0,3000,1,0,GH,Gauss,0,0.3982,sweep:Clayton/Gauss
0,3000,1,1,Clayton,Clayton,1,0.6781,sweep:Clayton/Gauss
1,3001,0,0,Gauss,Gauss,1,0.7095,sweep:Gauss/Clayton
1,3001,0,1,GH,Gauss,0,0.4284,sweep:Gauss/Clayton
1,3001,1,0,GH,GH,1,0.3380,sweep:Gauss/Clayton
1,3001,1,1,Clayton,Clayton,1,0.6965,sweep:Gauss/Clayton
2,3002,0,0,Gauss,Gauss,1,0.7093,sweep:Gauss/Gauss
2,3002,0,1,GH,Gauss,0,0.3745,sweep:Gauss/Gauss
2,3002,1,0,GH,GH,1,0.4605,sweep:Gauss/Gauss
2,3002,1,1,Clayton,Clayton,1,0.6997,sweep:Gauss/Gauss
3,3003,0,0,Gauss,Gauss,1,0.7007,sweep:Gauss/Clayton
3,3003,0,1,GH,Gauss,0,0.3664,sweep:Gauss/Clayton
3,3003,1,0,GH,GH,1,0.4473,sweep:Gauss/Clayton
3,3003,1,1,Clayton,Clayton,1,0.6865,sweep:Gauss/Clayton
4,3004,0,0,Gauss,Gauss,1,0.6929,sweep:Gauss/Clayton
4,3004,0,1,GH,Gauss,0,0.3725,sweep:Gauss/Clayton
4,3004,1,0,GH,Gauss,0,0.4202,sweep:Gauss/Clayton
4,3004,1,1,Clayton,Clayton,1,0.7013,sweep:Gauss/Clayton
5,3005,0,0,Gauss,Gauss,1,0.7011,sweep:Clayton/Clayton
5,3005,0,1,GH,Gauss,0,0.4085,sweep:Clayton/Clayton
5,3005,1,0,GH,GH,1,0.4880,sweep:Clayton/Clayton
5,3005,1,1,Clayton,Clayton,1,0.7032,sweep:Clayton/Clayton
6,3006,0,0,Gauss,Gauss,1,0.6967,sweep:Clayton/Clayton
6,3006,0,1,GH,GH,1,0.4063,sweep:Clayton/Clayton
6,3006,1,0,GH,GH,1,0.2927,sweep:Clayton/Clayton
6,3006,1,1,Clayton,Clayton,1,0.6916,sweep:Clayton/Clayton
7,3007,0,0,Gauss,Gauss,1,0.7000,sweep:Clayton/Clayton
7,3007,0,1,GH,GH,1,0.3757,sweep:Clayton/Clayton
7,3007,1,0,GH,Gauss,0,0.4103,sweep:Clayton/Clayton
7,3007,1,1,Clayton,Clayton,1,0.7169,sweep:Clayton/Clayton
8,3008,0,0,Gauss,Gauss,1,0.7028,sweep:Gauss/Clayton
8,3008,0,1,GH,Gauss,0,0.4345,sweep:Gauss/Clayton
8,3008,1,0,GH,Gauss,0,0.4239,sweep:Gauss/Clayton
8,3008,1,1,Clayton,Clayton,1,0.7094,sweep:Gauss/Clayton
9,3009,0,0,Gauss,Gauss,1,0.7012,sweep:Clayton/Clayton
9,3009,0,1,GH,Gauss,0,0.4290,sweep:Clayton/Clayton
9,3009,1,0,GH,GH,1,0.3996,sweep:Clayton/Clayton
9,3009,1,1,Clayton,Clayton,1,0.6993,sweep:Clayton/Clayton
10,3010,0,0,Gauss,Gauss,1,0.7033,sweep:Clayton/Clayton
10,3010,0,1,GH,GH,1,0.4443,sweep:Clayton/Clayton
10,3010,1,0,GH,Gauss,0,0.4218,sweep:Clayton/Clayton
10,3010,1,1,Clayton,Clayton,1,0.7072,sweep:Clayton/Clayton
11,3011,0,0,Gauss,Gauss,1,0.7090,sweep:Gauss/Clayton
11,3011,0,1,GH,Gauss,0,0.4261,sweep:Gauss/Clayton
11,3011,1,0,GH,GH,1,0.3650,sweep:Gauss/Clayton
11,3011,1,1,Clayton,Clayton,1,0.6980,sweep:Gauss/Clayton
12,3012,0,0,Gauss,Gauss,1,0.6966,sweep:Gauss/Clayton
12,3012,0,1,GH,GH,1,0.5253,sweep:Gauss/Clayton
12,3012,1,0,GH,GH,1,0.4321,sweep:Gauss/Clayton
12,3012,1,1,Clayton,Clayton,1,0.7040,sweep:Gauss/Clayton
13,3013,0,0,Gauss,Gauss,1,0.6994,sweep:Gauss/Clayton
13,3013,0,1,GH,GH,1,0.5440,sweep:Gauss/Clayton
13,3013,1,0,GH,GH,1,0.4437,sweep:Gauss/Clayton
13,3013,1,1,Clayton,Clayton,1,0.7054,sweep:Gauss/Clayton
14,3014,0,0,Gauss,Gauss,1,0.6984,sweep:Gauss/Clayton
14,3014,0,1,GH,Gauss,0,0.4438,sweep:Gauss/Clayton
14,3014,1,0,GH,GH,1,0.3281,sweep:Gauss/Clayton
14,3014,1,1,Clayton,Clayton,1,0.6899,sweep:Gauss/Clayton
15,3015,0,0,Gauss,Gauss,1,0.7028,sweep:Clayton/Gauss
15,3015,0,1,GH,GH,1,0.3244,sweep:Clayton/Gauss
15,3015,1,0,GH,GH,1,0.4040,sweep:Clayton/Gauss
15,3015,1,1,Clayton,Clayton,1,0.6984,sweep:Clayton/Gauss
16,3016,0,0,Gauss,Gauss,1,0.6878,sweep:Gauss/Clayton
16,3016,0,1,GH,Gauss,0,0.3491,sweep:Gauss/Clayton
16,3016,1,0,GH,GH,1,0.4000,sweep:Gauss/Clayton
16,3016,1,1,Clayton,Clayton,1,0.6857,sweep:Gauss/Clayton
17,3017,0,0,Gauss,Gauss,1,0.7089,sweep:Clayton/Gauss
17,3017,0,1,GH,GH,1,0.3922,sweep:Clayton/Gauss
17,3017,1,0,GH,Gauss,0,0.4910,sweep:Clayton/Gauss
17,3017,1,1,Clayton,Clayton,1,0.7032,sweep:Clayton/Gauss
18,3018,0,0,Gauss,Gauss,1,0.6992,sweep:Clayton/Clayton
18,3018,0,1,GH,GH,1,0.3952,sweep:Clayton/Clayton
18,3018,1,0,GH,GH,1,0.3632,sweep:Clayton/Clayton
18,3018,1,1,Clayton,Clayton,1,0.6945,sweep:Clayton/Clayton
