i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,24/30,0.682
0,1,GH,0.400,19/30,0.372
1,0,GH,0.400,14/30,0.377
1,1,Clayton,0.700,27/30,0.681

sup_err_mean (%),20.42
sup_err_std (%),1.39
unsup_err_mean (%),21.60
unsup_err_std (%),2.19
