run,seed,i,j,true_name,selected,hit,tau_hat,start
22,3022,0,1,GH,Clayton,0,0.3164,sweep:Clayton/Clayton
22,3022,1,0,GH,Clayton,0,0.3043,sweep:Clayton/Clayton
22,3022,1,1,Clayton,Gauss,0,0.6071,sweep:Clayton/Clayton
23,3023,0,0,Gauss,Gauss,1,0.7008,kmeans
23,3023,0,1,GH,GH,1,0.3561,kmeans
23,3023,1,0,GH,GH,1,0.5620,kmeans
23,3023,1,1,Clayton,Clayton,1,0.6799,kmeans
24,3024,0,0,Gauss,GH,0,0.7055,sweep:Gauss/Clayton
24,3024,0,1,GH,GH,1,0.3419,sweep:Gauss/Clayton
24,3024,1,0,GH,GH,1,0.5109,sweep:Gauss/Clayton
24,3024,1,1,Clayton,Clayton,1,0.6711,sweep:Gauss/Clayton
25,3025,0,0,Gauss,Gauss,1,0.6972,kmeans
25,3025,0,1,GH,GH,1,0.2823,kmeans
25,3025,1,0,GH,GH,1,0.4228,kmeans
25,3025,1,1,Clayton,Clayton,1,0.6848,kmeans
26,3026,0,0,Gauss,Gauss,1,0.7097,sweep:GH/Clayton
26,3026,0,1,GH,Gauss,0,0.4022,sweep:GH/Clayton
26,3026,1,0,GH,Gauss,0,0.4570,sweep:GH/Clayton
26,3026,1,1,Clayton,Clayton,1,0.7152,sweep:GH/Clayton
27,3027,0,0,Gauss,Gauss,1,0.6919,sweep:Gauss/GH
27,3027,0,1,GH,Gauss,0,0.3827,sweep:Gauss/GH
27,3027,1,0,GH,Gauss,0,0.3918,sweep:Gauss/GH
27,3027,1,1,Clayton,Clayton,1,0.6943,sweep:Gauss/GH
28,3028,0,0,Gauss,Gauss,1,0.7210,sweep:Gauss/Clayton
28,3028,0,1,GH,Clayton,0,0.3595,sweep:Gauss/Clayton
28,3028,1,0,GH,Clayton,0,0.1992,sweep:Gauss/Clayton
28,3028,1,1,Clayton,GH,0,0.6018,sweep:Gauss/Clayton
29,3029,0,0,Gauss,Gauss,1,0.7012,kmeans
29,3029,0,1,GH,Gauss,0,0.4298,kmeans
29,3029,1,0,GH,Gauss,0,0.3927,kmeans
29,3029,1,1,Clayton,Clayton,1,0.6881,kmeans
