i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,30/30,0.241
0,1,CubSec,0.100,15/30,0.113
1,0,CubSec,0.100,7/30,0.132
1,1,Clayton,0.200,29/30,0.191

sup_err_mean (%),10.19
sup_err_std (%),1.08
unsup_err_mean (%),10.35
unsup_err_std (%),1.10
