i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,29/30,0.242
0,1,CubSec,0.100,15/30,0.108
1,0,CubSec,0.100,6/30,0.128
1,1,Clayton,0.200,29/30,0.190

sup_err_mean (%),10.19
sup_err_std (%),1.08
unsup_err_mean (%),10.36
unsup_err_std (%),1.11
