run,seed,i,j,true_name,selected,hit,tau_hat,start
22,3022,1,1,Clayton,Clayton,1,0.2075,sweep:CubSec/Student
23,3023,0,0,Student,Student,1,0.2416,indep
23,3023,0,1,CubSec,Clayton,0,0.1051,indep
23,3023,1,0,CubSec,CubSec,1,0.1326,indep
23,3023,1,1,Clayton,Clayton,1,0.2042,indep
24,3024,0,0,Student,Student,1,0.2346,sweep:CubSec/Student
24,3024,0,1,CubSec,CubSec,1,0.1625,sweep:CubSec/Student
24,3024,1,0,CubSec,Student,0,0.2218,sweep:CubSec/Student
24,3024,1,1,Clayton,Clayton,1,0.1814,sweep:CubSec/Student
25,3025,0,0,Student,Student,1,0.2839,sweep:GH/CubSec
25,3025,0,1,CubSec,GH,0,0.0001,sweep:GH/CubSec
25,3025,1,0,CubSec,Student,0,-0.0042,sweep:GH/CubSec
25,3025,1,1,Clayton,Clayton,1,0.1819,sweep:GH/CubSec
26,3026,0,0,Student,Student,1,0.2499,kmeans
26,3026,0,1,CubSec,CubSec,1,0.1650,kmeans
26,3026,1,0,CubSec,Student,0,-0.0600,kmeans
26,3026,1,1,Clayton,Clayton,1,0.2165,kmeans
27,3027,0,0,Student,Student,1,0.2094,sweep:CubSec/Student
27,3027,0,1,CubSec,GH,0,0.0001,sweep:CubSec/Student
27,3027,1,0,CubSec,Student,0,0.2212,sweep:CubSec/Student
27,3027,1,1,Clayton,Clayton,1,0.1849,sweep:CubSec/Student
28,3028,0,0,Student,Student,1,0.2658,sweep:Student/Clayton
28,3028,0,1,CubSec,CubSec,1,0.0574,sweep:Student/Clayton
28,3028,1,0,CubSec,Student,0,0.2507,sweep:Student/Clayton
28,3028,1,1,Clayton,Clayton,1,0.2270,sweep:Student/Clayton
29,3029,0,0,Student,Student,1,0.2328,sweep:GH/GH
29,3029,0,1,CubSec,CubSec,1,0.1650,sweep:GH/GH
29,3029,1,0,CubSec,CubSec,1,0.1650,sweep:GH/GH
29,3029,1,1,Clayton,Clayton,1,0.1987,sweep:GH/GH
