i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,29/30,0.241
0,1,CubSec,0.100,17/30,0.114
1,0,CubSec,0.100,14/30,0.129
1,1,Clayton,0.200,29/30,0.192

sup_err_mean (%),10.19
sup_err_std (%),1.08
unsup_err_mean (%),10.30
unsup_err_std (%),1.09
