run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,GH,0,0.3062,sweep:GH/Student
0,3000,0,1,CubSec,GH,0,0.0879,sweep:GH/Student
0,3000,1,0,CubSec,CubSec,1,0.1577,sweep:GH/Student
0,3000,1,1,Clayton,Clayton,1,0.1412,sweep:GH/Student
1,3001,0,0,Student,GH,0,0.2390,kmeans
1,3001,0,1,CubSec,GH,0,0.0994,kmeans
1,3001,1,0,CubSec,GH,0,0.0808,kmeans
1,3001,1,1,Clayton,Clayton,1,0.1912,kmeans
2,3002,0,0,Student,GH,0,0.3669,sweep:GH/Student
2,3002,0,1,CubSec,CubSec,1,0.0386,sweep:GH/Student
2,3002,1,0,CubSec,Clayton,0,0.0129,sweep:GH/Student
2,3002,1,1,Clayton,Clayton,1,0.1922,sweep:GH/Student
3,3003,0,0,Student,GH,0,0.3589,sweep:Clayton/CubSec
3,3003,0,1,CubSec,CubSec,1,0.0398,sweep:Clayton/CubSec
3,3003,1,0,CubSec,CubSec,1,0.1090,sweep:Clayton/CubSec
3,3003,1,1,Clayton,Clayton,1,0.1904,sweep:Clayton/CubSec
4,3004,0,0,Student,GH,0,0.3605,sweep:Student/CubSec
4,3004,0,1,CubSec,GH,0,0.0958,sweep:Student/CubSec
4,3004,1,0,CubSec,GH,0,0.1213,sweep:Student/CubSec
4,3004,1,1,Clayton,GH,0,0.0001,sweep:Student/CubSec
5,3005,0,0,Student,GH,0,0.2844,sweep:Clayton/GH
5,3005,0,1,CubSec,GH,0,0.0728,sweep:Clayton/GH
5,3005,1,0,CubSec,GH,0,0.0873,sweep:Clayton/GH
5,3005,1,1,Clayton,Clayton,1,0.2121,sweep:Clayton/GH
6,3006,0,0,Student,GH,0,0.3371,kmeans
6,3006,0,1,CubSec,CubSec,1,0.0856,kmeans
6,3006,1,0,CubSec,CubSec,1,0.0215,kmeans
6,3006,1,1,Clayton,GH,0,0.1093,kmeans
7,3007,0,0,Student,GH,0,0.4154,sweep:GH/Student
7,3007,0,1,CubSec,GH,0,0.0502,sweep:GH/Student
7,3007,1,0,CubSec,CubSec,1,0.0875,sweep:GH/Student
7,3007,1,1,Clayton,Clayton,1,0.1886,sweep:GH/Student
8,3008,0,0,Student,GH,0,0.3128,sweep:Clayton/Student
8,3008,0,1,CubSec,CubSec,1,0.0000,sweep:Clayton/Student
8,3008,1,0,CubSec,CubSec,1,0.1079,sweep:Clayton/Student
8,3008,1,1,Clayton,CubSec,0,0.1234,sweep:Clayton/Student
9,3009,0,0,Student,GH,0,0.2942,sweep:Student/Clayton
9,3009,0,1,CubSec,CubSec,1,0.0360,sweep:Student/Clayton
9,3009,1,0,CubSec,GH,0,0.0001,sweep:Student/Clayton
9,3009,1,1,Clayton,Clayton,1,0.1598,sweep:Student/Clayton
10,3010,0,0,Student,Clayton,0,0.2280,sweep:CubSec/CubSec
10,3010,0,1,CubSec,GH,0,0.2305,sweep:CubSec/CubSec
10,3010,1,0,CubSec,CubSec,1,0.1483,sweep:CubSec/CubSec
10,3010,1,1,Clayton,GH,0,0.1144,sweep:CubSec/CubSec
11,3011,0,0,Student,GH,0,0.3643,sweep:GH/GH
11,3011,0,1,CubSec,GH,0,0.0908,sweep:GH/GH
11,3011,1,0,CubSec,GH,0,0.1558,sweep:GH/GH
11,3011,1,1,Clayton,Clayton,1,0.1401,sweep:GH/GH
12,3012,0,0,Student,GH,0,0.3069,sweep:CubSec/Clayton
12,3012,0,1,CubSec,Clayton,0,0.0310,sweep:CubSec/Clayton
12,3012,1,0,CubSec,CubSec,1,0.0873,sweep:CubSec/Clayton
12,3012,1,1,Clayton,Clayton,1,0.1789,sweep:CubSec/Clayton
13,3013,0,0,Student,GH,0,0.2609,sweep:Student/Clayton
13,3013,0,1,CubSec,GH,0,0.1195,sweep:Student/Clayton
