run,seed,i,j,true_name,selected,hit,tau_hat,start
23,3023,1,0,CubSec,CubSec,1,0.1399,indep
23,3023,1,1,Clayton,Clayton,1,0.2023,indep
24,3024,0,0,Student,GH,0,0.2528,sweep:GH/Clayton
24,3024,0,1,CubSec,CubSec,1,0.0683,sweep:GH/Clayton
24,3024,1,0,CubSec,Student,0,0.1359,sweep:GH/Clayton
24,3024,1,1,Clayton,Clayton,1,0.1776,sweep:GH/Clayton
25,3025,0,0,Student,Student,1,0.2839,sweep:GH/CubSec
25,3025,0,1,CubSec,CubSec,1,0.0000,sweep:GH/CubSec
25,3025,1,0,CubSec,Student,0,-0.0033,sweep:GH/CubSec
25,3025,1,1,Clayton,Clayton,1,0.1819,sweep:GH/CubSec
26,3026,0,0,Student,Student,1,0.2471,indep
26,3026,0,1,CubSec,GH,0,0.1891,indep
26,3026,1,0,CubSec,Student,0,-0.0355,indep
26,3026,1,1,Clayton,Clayton,1,0.2115,indep
27,3027,0,0,Student,Student,1,0.2119,sweep:GH/CubSec
27,3027,0,1,CubSec,Student,0,-0.0312,sweep:GH/CubSec
27,3027,1,0,CubSec,Student,0,0.2056,sweep:GH/CubSec
27,3027,1,1,Clayton,Clayton,1,0.1836,sweep:GH/CubSec
28,3028,0,0,Student,Student,1,0.2659,sweep:Student/Student
28,3028,0,1,CubSec,CubSec,1,0.0601,sweep:Student/Student
28,3028,1,0,CubSec,Student,0,0.2514,sweep:Student/Student
28,3028,1,1,Clayton,Clayton,1,0.2266,sweep:Student/Student
29,3029,0,0,Student,Student,1,0.2333,sweep:CubSec/GH
29,3029,0,1,CubSec,CubSec,1,0.1650,sweep:CubSec/GH
29,3029,1,0,CubSec,CubSec,1,0.1650,sweep:CubSec/GH
29,3029,1,1,Clayton,Clayton,1,0.1999,sweep:CubSec/GH
