setting,subject,K,rule,mask,r,M,model,fit,mechanism,start_from,subset,n,rmse,mae,crps,cov90,width90,impute_s
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,vigorous,45,0.641284,0.526286,0.374242,0.977778,2.70459,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state,,transient,11,1.12859,0.920524,0.700332,0.818182,3.66758,0.684086
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,all,165,0.654433,0.50787,0.372934,0.975758,2.75857,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,locomotion,109,0.591796,0.458987,0.342515,0.990826,2.68843,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,vigorous,45,0.641283,0.526286,0.3698,0.977778,2.70459,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,oracle,state-markov,,transient,11,1.12761,0.916916,0.687171,0.818182,3.67442,0.625402
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,all,165,0.639041,0.503515,0.365281,0.909091,2.29747,0.595632
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,locomotion,109,0.559613,0.42884,0.325093,0.93578,2.29175,0.595632
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,vigorous,45,0.732807,0.619296,0.419523,0.844444,2.21926,0.595632
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,ignorable,start,transient,11,0.908609,0.769821,0.541612,0.909091,2.67402,0.595632
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,start,all,165,0.640963,0.499559,0.365702,0.909091,2.29182,0.98355
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,start,locomotion,109,0.564195,0.43529,0.319495,0.93578,2.23766,0.98355
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,start,vigorous,45,0.724154,0.609802,0.421995,0.844444,2.24421,0.98355
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,start,transient,11,0.928983,0.685415,0.593291,0.909091,3.02335,0.98355
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,start,all,165,0.640658,0.499118,0.364943,0.909091,2.29212,0.845345
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,start,locomotion,109,0.564079,0.435187,0.320566,0.93578,2.23803,0.845345
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,start,vigorous,45,0.724241,0.609923,0.419645,0.844444,2.24401,0.845345
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,start,transient,11,0.926245,0.67933,0.580892,0.909091,3.02495,0.845345
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,ignorable fit,all,165,0.63853,0.495975,0.361691,0.909091,2.28819,1.00879
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,ignorable fit,locomotion,109,0.563485,0.434797,0.320472,0.93578,2.23444,1.00879
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,ignorable fit,vigorous,45,0.722832,0.608706,0.416571,0.844444,2.23579,1.00879
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state,ignorable fit,transient,11,0.912175,0.641013,0.545616,0.909091,3.0352,1.00879
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,ignorable fit,all,165,0.638334,0.495954,0.365726,0.909091,2.28837,0.822398
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,109,0.563365,0.434687,0.322427,0.93578,2.23474,0.822398
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,45,0.722906,0.608803,0.416147,0.844444,2.23553,0.822398
controlled,102,2,ge10,state,1,165,hmc_in,unsupervised,state-markov,ignorable fit,transient,11,0.91062,0.6414,0.588516,0.909091,3.03594,0.822398
controlled,102,2,ge10,state,2,174,hmc_in,oracle,ignorable,,all,174,0.612445,0.467139,0.347113,0.982759,2.87332,0.714544
controlled,102,2,ge10,state,2,174,hmc_in,oracle,ignorable,,locomotion,121,0.504175,0.381729,0.298648,0.991736,2.81456,0.714544
controlled,102,2,ge10,state,2,174,hmc_in,oracle,ignorable,,vigorous,36,0.781843,0.644561,0.445881,0.944444,2.74466,0.714544
controlled,102,2,ge10,state,2,174,hmc_in,oracle,ignorable,,transient,17,0.85757,0.699338,0.482909,1,3.56398,0.714544
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state,,all,174,0.716743,0.508184,0.383389,0.95977,2.79829,0.856206
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state,,locomotion,121,0.582341,0.399944,0.320866,0.983471,2.72679,0.856206
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state,,vigorous,36,0.863829,0.687214,0.48297,0.916667,2.67701,0.856206
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state,,transient,17,1.12434,0.899475,0.617528,0.882353,3.56401,0.856206
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state-markov,,all,174,0.717745,0.508354,0.386412,0.95977,2.79799,0.825644
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state-markov,,locomotion,121,0.584122,0.400363,0.318622,0.983471,2.72654,0.825644
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state-markov,,vigorous,36,0.863832,0.687215,0.492129,0.916667,2.67701,0.825644
controlled,102,2,ge10,state,2,174,hmc_in,oracle,state-markov,,transient,17,1.12431,0.898232,0.64505,0.882353,3.56275,0.825644
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,ignorable,start,all,174,0.581695,0.443137,0.332146,0.948276,2.34933,0.911513
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,ignorable,start,locomotion,121,0.442271,0.336724,0.26425,0.991736,2.29998,0.911513
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,ignorable,start,vigorous,36,0.86869,0.739574,0.519559,0.777778,2.28773,0.911513
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,ignorable,start,transient,17,0.687778,0.572799,0.418534,1,2.831,0.911513
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,start,all,174,0.651104,0.470407,0.357069,0.948276,2.30783,0.872703
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,start,locomotion,121,0.49422,0.3501,0.278462,0.991736,2.25467,0.872703
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,start,vigorous,36,0.913025,0.766344,0.544502,0.777778,2.26091,0.872703
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,start,transient,17,0.913947,0.700018,0.519651,1,2.78553,0.872703
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,start,all,174,0.651123,0.470415,0.355827,0.948276,2.30776,0.840198
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,start,locomotion,121,0.49423,0.350104,0.27831,0.991736,2.25462,0.840198
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,start,vigorous,36,0.913031,0.766344,0.542391,0.777778,2.26088,0.840198
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,start,transient,17,0.914037,0.700072,0.512489,1,2.78531,0.840198
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,ignorable fit,all,174,0.649952,0.470044,0.355603,0.948276,2.3072,0.786094
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,ignorable fit,locomotion,121,0.493905,0.350193,0.276068,0.991736,2.25321,0.786094
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,ignorable fit,vigorous,36,0.911623,0.765005,0.541996,0.777778,2.25882,0.786094
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state,ignorable fit,transient,17,0.909724,0.698479,0.52699,1,2.79393,0.786094
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,ignorable fit,all,174,0.649969,0.470052,0.358576,0.948276,2.30715,0.980896
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,ignorable fit,locomotion,121,0.493911,0.350196,0.278061,0.991736,2.25316,0.980896
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,ignorable fit,vigorous,36,0.911628,0.765005,0.551352,0.777778,2.25881,0.980896
controlled,102,2,ge10,state,2,174,hmc_in,unsupervised,state-markov,ignorable fit,transient,17,0.909811,0.698534,0.523426,1,2.79374,0.980896
controlled,102,2,ge10,state,3,156,hmc_in,oracle,ignorable,,all,156,0.571955,0.433865,0.332823,0.955128,2.74823,0.879763
controlled,102,2,ge10,state,3,156,hmc_in,oracle,ignorable,,locomotion,101,0.471422,0.34881,0.28892,0.980198,2.72688,0.879763
controlled,102,2,ge10,state,3,156,hmc_in,oracle,ignorable,,vigorous,50,0.734483,0.605775,0.416772,0.9,2.70212,0.879763
controlled,102,2,ge10,state,3,156,hmc_in,oracle,ignorable,,transient,5,0.568039,0.432875,0.380164,1,3.64058,0.879763
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state,,all,156,0.577645,0.439902,0.335185,0.955128,2.73456,0.781548
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state,,locomotion,101,0.471823,0.348348,0.289485,0.980198,2.72892,0.781548
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state,,vigorous,50,0.734489,0.605903,0.419938,0.9,2.70182,0.781548
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state,,transient,5,0.720443,0.62928,0.4108,1,3.1761,0.781548
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state-markov,,all,156,0.577661,0.439903,0.339002,0.955128,2.73465,0.972854
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state-markov,,locomotion,101,0.471857,0.348352,0.290621,0.980198,2.72905,0.972854
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state-markov,,vigorous,50,0.734488,0.605903,0.427771,0.9,2.70182,0.972854
controlled,102,2,ge10,state,3,156,hmc_in,oracle,state-markov,,transient,5,0.720395,0.629237,0.42859,1,3.17624,0.972854
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,ignorable,start,all,156,0.621634,0.479066,0.350114,0.910256,2.23128,0.911248
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,ignorable,start,locomotion,101,0.474111,0.355317,0.274978,0.970297,2.22788,0.911248
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,ignorable,start,vigorous,50,0.833389,0.714553,0.489853,0.78,2.22544,0.911248
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,ignorable,start,transient,5,0.755405,0.623908,0.470474,1,2.35824,0.911248
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,start,all,156,0.618781,0.477266,0.346748,0.910256,2.22279,0.880612
controlled,102,2,ge10,state,3,156,hmc_in,unsupervised,state,start,locomotion,101,0.47384,0.355215,0.273864,0.970297,2.21984,0.880612
