setting,subject,K,rule,model,start,fit,mechanism,start_from,n_iter,fit_s,state_means,ll,classify_s,err_all,n_all,perm,perm_identity,err_missing,n_missing,err_observed,n_observed,acc_missing,conf_missing,brier_missing,logloss_missing,p_true_missing,ece_missing,rel_n,rel_conf,rel_correct,share_true_missing,share_post_missing,mech_rates,mech_onset,mech_persistence,sorted_rates,sorted_onset,sorted_persistence,ll_mask_common,mask,r,M,mask_rates,mask_onset,mask_persistence,err_by_activity
real,102,3,ge10,pmc_pair,0,unsupervised,ignorable,start,29,51.6899,-2.4502|-0.4051|1.0493,-6061.94,0.296403,0.403948,5268,021,False,0.710692,159,0.394402,5109,0.289308,0.956499,1.40318,5.93539,0.26201,0.717402,0|0|0|0|1|4|4|9|13|128,0|0|0|0|0.646397|2.81983|3.14007|7.40191|11.7051|126.37,0|0|0|0|1|4|4|9|8|20,0.0000|0.2893|0.7107,0.0009|0.9565|0.0426,,,,,,,-838.0507|-782.2845,,,,,,,
real,102,3,ge10,pmc_pair,0,unsupervised,state,ignorable fit,50,129.496,-2.4471|0.0624|1.2503,-6666.78,0.527328,0.415338,5268,012,True,0.289308,159,0.41926,5109,0.710692,0.998393,0.573036,1.73896,0.711894,0.287701,0|0|0|0|0|0|0|0|0|159,0|0|0|0|0|0|0|0|0|158.745,0|0|0|0|0|0|0|0|0|113,0.0000|0.2893|0.7107,0.0001|0.0015|0.9984,0.0005847|0.0004684|0.052747,,,0.0005847|0.0004684|0.052747,,,-838.0507|-782.2845,,,,,,,
real,102,3,ge10,pmc_pair,0,unsupervised,state-markov,ignorable fit,50,120.532,-2.4487|-0.0759|1.2298,-6663.01,0.314536,0.428626,5268,012,True,0.289308,159,0.432961,5109,0.710692,0.991145,0.566183,1.75173,0.708473,0.280454,0|0|0|0|0|0|0|1|3|155,0|0|0|0|0|0|0|0.84138|2.72858|154.022,0|0|0|0|0|0|0|0|1|112,0.0000|0.2893|0.7107,0.0048|0.0040|0.9911,0.00066944|0.0002436|0.051242,0.00042402|0.00023553|0.042097,0.36702|0.033393|0.22057,0.00066944|0.0002436|0.051242,0.00042402|0.00023553|0.042097,0.36702|0.033393|0.22057,-838.0507|-782.2845,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,ignorable,start,50,109.926,-2.4516|-0.1659|0.9757,-5434.95,0.577599,0.40262,5268,021,False,0.629862,797,0.362111,4471,0.370138,0.993021,1.24799,5.9564,0.369991,0.622883,0|0|0|0|4|0|2|2|5|784,0|0|0|0|2.53371|0|1.56496|1.64903|4.45142|781.238,0|0|0|0|1|0|0|1|1|292,0.0188|0.3701|0.6110,0.0026|0.9730|0.0245,,,,,,,-2971.6047|-2475.1117,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,state,ignorable fit,9,22.6087,-2.4544|0.4177|1.2749,-7610.25,0.575144,0.285497,5268,012,True,0.380176,797,0.26862,4471,0.619824,0.985852,0.744624,4.31473,0.618528,0.366028,0|0|4|8|7|5|4|1|3|765,0|0|2.09115|4.46235|4.48428|3.52092|3.12855|0.852675|2.72951|764.455,0|0|2|3|2|3|2|0|0|482,0.0188|0.3701|0.6110,0.0005|0.0237|0.9758,0.0018271|0.012329|0.46399,,,0.0018271|0.012329|0.46399,,,-2971.6047|-2475.1117,,,,,,,
real,102,3,any,pmc_pair,0,unsupervised,state-markov,ignorable fit,11,28.6357,-2.4536|-0.0275|1.0179,-7591.29,0.558364,0.448557,5268,021,False,0.629862,797,0.416238,4471,0.370138,0.993012,1.25231,7.55335,0.369361,0.622874,0|0|4|3|1|1|2|2|4|780,0|0|2.04964|1.70606|0.628264|0.673092|1.4868|1.61013|3.54065|779.736,0|0|1|1|0|0|0|1|1|291,0.0188|0.3701|0.6110,0.0001|0.9815|0.0184,0.00029206|0.018544|0.23557,0.00021315|0.017102|0.1514,0.2704|0.09486|0.5087,0.00029206|0.018544|0.23557,0.00021315|0.017102|0.1514,0.2704|0.09486|0.5087,-2971.6047|-2475.1117,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,ignorable,start,27,43.75,-2.4120|-0.0611|1.5598,-4708.11,0.395964,0.425272,5239,012,True,0.6,30,0.424266,5209,0.4,0.828378,0.764961,1.21294,0.500978,0.429075,0|0|1|3|3|2|1|6|4|10,0|0|0.515543|1.72868|1.85651|1.3785|0.770729|5.07972|3.53212|9.98955,0|0|0|1|1|0|0|0|0|10,0.1333|0.5667|0.3000,0.0565|0.2055|0.7380,,,,,,,-543.9521|-512.6898,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,state,ignorable fit,3,5.38626,-2.4127|-0.0717|1.5595,-5247.39,0.330376,0.426036,5239,012,True,0.633333,30,0.424842,5209,0.366667,0.854674,0.859086,1.39369,0.4673,0.489266,0|0|0|3|2|2|2|2|9|10,0|0|0|1.69956|1.32392|1.35906|1.50161|1.68874|8.08621|9.98113,0|0|0|1|0|0|0|0|0|10,0.1333|0.5667|0.3000,0.0507|0.1805|0.7688,0.0068844|0.012269|0.016786,,,0.0068844|0.012269|0.016786,,,-543.9521|-512.6898,,,,,,,
real,108,3,ge10,pmc_pair,0,unsupervised,state-markov,ignorable fit,3,5.33385,-2.4127|-0.0717|1.5596,-5216.51,0.40585,0.425654,5239,012,True,0.6,30,0.42465,5209,0.4,0.859281,0.858198,1.40555,0.46999,0.48618,0|0|0|2|1|4|2|1|10|10,0|0|0|1.12518|0.615107|2.71808|1.50878|0.827544|9.00233|9.9814,0|0|0|1|1|0|0|0|0|10,0.1333|0.5667|0.3000,0.0558|0.1731|0.7711,0.0069632|0.011812|0.017588,0.005832|0.010238|0.014252,0.16828|0.14347|0.20392,0.0069632|0.011812|0.017588,0.005832|0.010238|0.014252,0.16828|0.14347|0.20392,-543.9521|-512.6898,,,,,,,
real,108,3,any,pmc_pair,0,unsupervised,ignorable,start,34,71.097,-2.4168|-0.2608|1.4445,-4374.49,0.530729,0.482153,5239,012,True,0.535714,560,0.475743,4679,0.464286,0.866373,0.681723,1.2476,0.563326,0.402087,0|0|9|18|32|52|80|59|45|265,0|0|4.58343|10.1179|20.3404|36.5889|61.2273|48.9874|40.183|263.141,0|0|3|3|3|1|2|3|9|236,0.0696|0.4893|0.4411,0.0083|0.1953|0.7963,,,,,,,-2843.0024|-2569.7984,,,,,,,
real,108,3,any,pmc_pair,0,unsupervised,state,ignorable fit,10,23.7646,-2.4169|-0.1536|1.5184,-6930.45,0.62742,0.445123,5239,012,True,0.546429,560,0.432999,4679,0.453571,0.942171,0.916176,1.90617,0.493899,0.488599,0|0|6|1|4|6|11|32|126|374,0|0|3.0862|0.590523|2.55953|4.21226|8.52053|26.9578|113.954|367.735,0|0|1|0|0|0|1|4|8|240,0.0696|0.4893|0.4411,0.0042|0.1187|0.8770,0.0081961|0.065593|0.23741,,,0.0081961|0.065593|0.23741,,,-2843.0024|-2569.7984,,,,,,,
real,108,3,any,pmc_pair,0,unsupervised,state-markov,ignorable fit,8,18.7286,-2.4170|-0.2116|1.4967,-6762.8,0.684918,0.451231,5239,012,True,0.542857,560,0.440265,4679,0.457143,0.932595,0.883066,1.80412,0.503204,0.475452,0|0|3|4|8|5|20|47|145|328,0|0|1.54161|2.24951|5.03754|3.62258|15.4484|39.3353|131.278|323.74,0|0|0|2|1|0|0|5|9|239,0.0696|0.4893|0.4411,0.0051|0.1287|0.8662,0.0092045|0.066493|0.2417,0.0067729|0.057779|0.15989,0.27095|0.18882|0.49836,0.0092045|0.066493|0.2417,0.0067729|0.057779|0.15989,0.27095|0.18882|0.49836,-2843.0024|-2569.7984,,,,,,,
real,105,3,ge10,pmc_pair,0,unsupervised,ignorable,start,31,65.8106,-2.4309|0.3860|1.9749,-4335.9,0.362982,0.475771,5448,012,True,0.206186,97,0.480658,5351,0.793814,0.765988,0.324573,1.43238,0.680189,0.223879,0|0|6|14|8|11|12|15|17|14,0|0|3.11258|7.83588|5.13229|7.70078|9.21065|12.4811|15.2674|13.5601,0|0|1|7|8|11|11|15|17|7,0.0515|0.8969|0.0515,0.0380|0.7262|0.2358,,,,,,,-531.0120|-453.1285,,,,,,,
real,105,3,ge10,pmc_pair,0,unsupervised,state,ignorable fit,6,11.8384,-2.4336|0.3789|1.9785,-4829.84,0.397263,0.479809,5448,012,True,0.701031,97,0.475799,5351,0.298969,0.765016,1.02091,2.38857,0.336292,0.498075,0|0|9|17|6|9|10|9|16|21,0|0|4.70875|9.60728|3.73791|6.30184|7.64349|7.51657|14.4368|20.254,0|0|5|7|5|3|3|2|2|2,0.0515|0.8969|0.0515,0.0240|0.3893|0.5867,0.0025758|0.0074258|0.081732,,,0.0025758|0.0074258|0.081732,,,-531.0120|-453.1285,,,,,,,
real,105,3,ge10,pmc_pair,0,unsupervised,state-markov,ignorable fit,8,16.1952,-2.4344|0.3756|1.9791,-4749.05,0.383555,0.47779,5448,012,True,0.701031,97,0.473743,5351,0.298969,0.893316,1.21842,2.95799,0.307849,0.615526,0|0|0|2|6|2|7|12|14|54,0|0|0|1.13953|3.83327|1.40406|5.34394|9.95512|12.5238|52.4519,0|0|0|2|4|0|5|3|3|12,0.0515|0.8969|0.0515,0.0330|0.3448|0.6222,0.0036774|0.0029237|0.13027,0.0032508|0.002071|0.080214,0.11927|0.29372|0.46445,0.0036774|0.0029237|0.13027,0.0032508|0.002071|0.080214,0.11927|0.29372|0.46445,-531.0120|-453.1285,,,,,,,
real,105,3,any,pmc_pair,0,unsupervised,ignorable,start,27,57.0734,-2.4239|0.1113|2.3407,-4272.29,0.316247,0.367291,5448,012,True,0.153302,424,0.38535,5024,0.846698,0.744269,0.33114,1.05545,0.660763,0.217984,1|0|27|37|56|65|113|62|13|50,0.377618|0|13.913|21.193|35.4396|45.4282|87.2782|50.8204|11.5943|49.5257,0|0|14|31|49|59|108|61|11|26,0.0684|0.7052|0.2264,0.0724|0.5642|0.3634,,,,,,,-1810.1389|-1538.7722,,,,,,,
real,105,3,any,pmc_pair,0,unsupervised,state,ignorable fit,6,10.0351,-2.4268|0.1014|2.3437,-5996.53,0.45046,0.390235,5448,012,True,0.424528,424,0.387341,5024,0.575472,0.764064,0.554603,1.37571,0.56794,0.196195,0|0|22|60|68|54|46|47|24|103,0|0|11.3881|34.0916|43.0701|37.824|35.3248|39.0981|21.5639|101.602,0|0|13|29|31|27|29|21|14|80,0.0684|0.7052|0.2264,0.0198|0.4339|0.5464,0.0096149|0.05308|0.15737,,,0.0096149|0.05308|0.15737,,,-1810.1389|-1538.7722,,,,,,,
real,105,3,any,pmc_pair,0,unsupervised,state-markov,ignorable fit,6,10.9546,-2.4268|0.0956|2.3430,-5738.52,0.46281,0.385646,5448,012,True,0.372642,424,0.386744,5024,0.627358,0.828974,0.546807,1.34572,0.601612,0.221809,0|1|8|22|22|45|60|85|67|114,0|0.463221|4.16727|12.5516|14.0395|31.3238|46.0887|70.8622|60.6787|111.31,0|0|6|15|13|17|30|53|42|90,0.0684|0.7052|0.2264,0.0273|0.4613|0.5114,0.011454|0.044971|0.16972,0.010567|0.02586|0.12328,0.087993|0.45082|0.39692,0.011454|0.044971|0.16972,0.010567|0.02586|0.12328,0.087993|0.45082|0.39692,-1810.1389|-1538.7722,,,,,,,
controlled,102,2,ge10,hmc_in,,oracle,ignorable,,,,,-11514.7,0.178751,0.067388,5268,01,True,0.0397351,151,0.068204,5117,0.960265,0.992624,0.0693006,0.27237,0.960931,0.0323591,2|0|0|0|0|0|0|0|2|147,1.06422|0|0|0|0|0|0|0|1.87595|146.946,1|0|0|0|0|0|0|0|0|144,0.0000|1.0000,0.0391|0.9609,,,,,,,,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state,,,,,-12332.2,0.145872,0.0654897,5268,01,True,0.013245,151,0.0670315,5117,0.986755,0.997114,0.0177933,0.071185,0.989355,0.0103589,0|1|0|0|0|0|0|0|0|150,0|0.585829|0|0|0|0|0|0|0|149.978,0|0|0|0|0|0|0|0|0|149,0.0000|1.0000,0.0106|0.9894,9.4505e-06|0.046268,,,,,,,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state-markov,,,,,-12333.2,0.201784,0.0654897,5268,01,True,0.013245,151,0.0670315,5117,0.986755,0.997017,0.0175581,0.0707157,0.989462,0.0102621,0|1|0|0|0|0|0|0|0|150,0|0.570491|0|0|0|0|0|0|0|149.979,0|0|0|0|0|0|0|0|0|149,0.0000|1.0000,0.0105|0.9895,9.6619e-06|0.046269,9.2358e-06|0.046585,0.044118|0.039764,,,,,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,ignorable,start,4,0.912013,-1.9196|0.8153,-10272.9,0.194601,0.0983295,5268,01,True,0.0331126,151,0.100254,5117,0.966887,0.988533,0.0704805,0.168766,0.957088,0.0402363,2|0|0|1|0|0|1|0|2|145,1.05094|0|0|0.69665|0|0|0.848825|0|1.88572|144.786,2|0|0|1|0|0|1|0|0|142,0.0000|1.0000,0.0429|0.9571,,,,,,,-838.0507|-836.2768,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,start,4,0.560501,-1.9179|0.8161,-11062.3,0.119862,0.0977601,5268,01,True,0.0264901,151,0.0998632,5117,0.97351,0.992812,0.044135,0.0804519,0.973049,0.0250079,0|1|1|0|0|0|0|0|2|147,0|0.569176|0.617226|0|0|0|0|0|1.83443|146.894,0|1|0|0|0|0|0|0|1|145,0.0000|1.0000,0.0270|0.9730,0.0024138|0.028781,,,0.0024138|0.028781,,,-838.0507|-836.2768,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,start,4,0.595543,-1.9177|0.8162,-11061.8,0.124284,0.0977601,5268,01,True,0.0264901,151,0.0998632,5117,0.97351,0.992003,0.0445166,0.081777,0.972151,0.0259799,0|1|1|0|0|0|0|1|2|146,0|0.567271|0.621845|0|0|0|0|0.867505|1.83476|145.901,0|1|0|0|0|0|0|1|1|144,0.0000|1.0000,0.0278|0.9722,0.0024783|0.028746,0.0024199|0.02834,0.025994|0.042483,0.0024783|0.028746,0.0024199|0.02834,0.025994|0.042483,-838.0507|-836.2768,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.505214,-1.9144|0.8177,-11062.1,0.134379,0.0971906,5268,01,True,0.0264901,151,0.0992769,5117,0.97351,0.992776,0.0448121,0.0822021,0.97272,0.0252442,1|0|1|0|0|0|0|0|2|147,0.548663|0|0.631645|0|0|0|0|0|1.83754|146.891,1|0|0|0|0|0|0|0|1|145,0.0000|1.0000,0.0273|0.9727,0.0025006|0.028765,,,0.0025006|0.028765,,,-838.0507|-836.2768,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.350592,-1.9144|0.8178,-11061.6,0.120334,0.0971906,5268,01,True,0.0264901,151,0.0992769,5117,0.97351,0.992048,0.0451184,0.0833298,0.971928,0.0261506,1|0|1|0|0|0|0|1|2|146,0.547058|0|0.634981|0|0|0|0|0.878176|1.83761|145.901,1|0|0|0|0|0|0|1|1|144,0.0000|1.0000,0.0281|0.9719,0.0025498|0.02874,0.0024972|0.028327,0.02314|0.042686,0.0025498|0.02874,0.0024972|0.028327,0.02314|0.042686,-838.0507|-836.2768,state,0,169,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,ignorable,,,,,-11519.1,0.103446,0.0675778,5268,01,True,0.025974,154,0.0688307,5114,0.974026,0.994359,0.042257,0.253803,0.974908,0.0250334,0|0|1|0|1|1|0|0|0|151,0|0|0.638081|0|0.724686|0.77306|0|0|0|150.995,0|0|1|0|0|0|0|0|0|149,0.0000|1.0000,0.0251|0.9749,,,,,,,,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state,,,,,-12344.7,0.110886,0.0666287,5268,01,True,0.012987,154,0.068244,5114,0.987013,0.99999,0.0259694,0.122393,0.987005,0.012977,0|0|0|0|0|0|0|0|0|154,0|0|0|0|0|0|0|0|0|153.998,0|0|0|0|0|0|0|0|0|152,0.0000|1.0000,0.0130|0.9870,9.2274e-06|0.047187,,,,,,,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state-markov,,,,,-12345.9,0.118752,0.0666287,5268,01,True,0.012987,154,0.068244,5114,0.987013,0.99999,0.0259692,0.121979,0.987006,0.0129774,0|0|0|0|0|0|0|0|0|154,0|0|0|0|0|0|0|0|0|153.999,0|0|0|0|0|0|0|0|0|152,0.0000|1.0000,0.0130|0.9870,9.4303e-06|0.047187,9.0611e-06|0.047594,0.039157|0.038962,,,,,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,ignorable,start,4,0.473848,-1.9177|0.8190,-10282.2,0.129675,0.0981397,5268,01,True,0.025974,154,0.100313,5114,0.974026,0.991624,0.0357365,0.0893166,0.976081,0.0210846,0|1|0|1|0|0|1|1|0|150,0|0.554374|0|0.652322|0|0|0.833358|0.898168|0|149.772,0|0|0|0|0|0|1|1|0|148,0.0000|1.0000,0.0239|0.9761,,,,,,,-822.2049|-821.0362,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,start,4,0.531925,-1.9168|0.8197,-11054.9,0.206289,0.0973804,5268,01,True,0.012987,154,0.0999218,5114,0.987013,0.997657,0.0230102,0.0413836,0.986363,0.0116769,0|0|0|0|0|0|0|2|1|151,0|0|0|0|0|0|0|1.77418|0.920497|150.945,0|0|0|0|0|0|0|1|1|150,0.0000|1.0000,0.0136|0.9864,0.0019198|0.028375,,,0.0019198|0.028375,,,-822.2049|-821.0362,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,start,4,0.698525,-1.9168|0.8197,-11054.6,0.146402,0.0973804,5268,01,True,0.012987,154,0.0999218,5114,0.987013,0.997643,0.0230669,0.0416242,0.986322,0.0116824,0|0|0|0|0|0|0|2|1|151,0|0|0|0|0|0|0|1.77408|0.918983|150.944,0|0|0|0|0|0|0|1|1|150,0.0000|1.0000,0.0137|0.9863,0.0019363|0.028376,0.0019325|0.028079,0.0039099|0.038527,0.0019363|0.028376,0.0019325|0.028079,0.0039099|0.038527,-822.2049|-821.0362,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.566749,-1.9117|0.8222,-11054.6,0.0471276,0.0968109,5268,01,True,0.012987,154,0.0993352,5114,0.987013,0.997575,0.0235649,0.0436617,0.986018,0.0122628,0|0|0|0|0|0|0|1|2|151,0|0|0|0|0|0|0|0.869029|1.81572|150.942,0|0|0|0|0|0|0|1|1|150,0.0000|1.0000,0.0140|0.9860,0.0021511|0.028292,,,0.0021511|0.028292,,,-822.2049|-821.0362,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.501482,-1.9117|0.8221,-11054.3,0.183391,0.0968109,5268,01,True,0.012987,154,0.0993352,5114,0.987013,0.997557,0.0236165,0.0439003,0.985978,0.01227,0|0|0|0|0|0|0|1|2|151,0|0|0|0|0|0|0|0.867064|1.81545|150.941,0|0|0|0|0|0|0|1|1|150,0.0000|1.0000,0.0140|0.9860,0.0021672|0.028292,0.0021636|0.027992,0.0038184|0.038597,0.0021672|0.028292,0.0021636|0.027992,0.0038184|0.038597,-822.2049|-821.0362,state,1,165,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,ignorable,,,,,-11514.1,0.108273,0.0675778,5268,01,True,0.0382166,157,0.0684797,5111,0.961783,0.987027,0.0654059,0.424981,0.958785,0.0359035,0|1|3|0|0|1|0|1|1|150,0|0.591132|1.81841|0|0|0.799754|0|0.85748|0.914809|149.982,0|1|1|0|0|1|0|1|1|146,0.0000|1.0000,0.0412|0.9588,,,,,,,,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state,,,,,-12417.1,0.118892,0.0662491,5268,01,True,0.0191083,157,0.0676971,5111,0.980892,0.997685,0.0398857,0.192279,0.978578,0.0214091,0|0|1|0|0|0|0|0|0|156,0|0|0.637618|0|0|0|0|0|0|155.999,0|0|1|0|0|0|0|0|0|153,0.0000|1.0000,0.0214|0.9786,9.7292e-06|0.048106,,,,,,,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state-markov,,,,,-12419.3,0.184753,0.0662491,5268,01,True,0.0191083,157,0.0676971,5111,0.980892,0.997813,0.0397052,0.19144,0.978706,0.0212814,0|0|0|1|0|0|0|0|0|156,0|0|0|0.657707|0|0|0|0|0|155.999,0|0|0|1|0|0|0|0|0|153,0.0000|1.0000,0.0213|0.9787,9.9518e-06|0.048108,9.696e-06|0.049572,0.025714|0.01915,,,,,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,ignorable,start,4,0.69926,-1.9192|0.8173,-10288.8,0.144713,0.0983295,5268,01,True,0.0382166,157,0.100176,5111,0.961783,0.986583,0.061712,0.186046,0.961001,0.02993,3|0|0|0|1|0|0|1|0|152,1.5191|0|0|0|0.711108|0|0|0.886186|0|151.777,1|0|0|0|1|0|0|1|0|148,0.0000|1.0000,0.0390|0.9610,,,,,,,-857.7226|-857.6680,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,start,4,0.700357,-1.9175|0.8183,-11103.9,0.129638,0.0968109,5268,01,True,0.0254777,157,0.0990022,5111,0.974522,0.997087,0.0502987,0.117237,0.972179,0.026685,0|0|0|0|0|0|0|3|0|154,0|0|0|0|0|0|0|2.67654|0|153.866,0|0|0|0|0|0|0|3|0|150,0.0000|1.0000,0.0278|0.9722,0.0034638|0.029036,,,0.0034638|0.029036,,,-857.7226|-857.6680,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,start,4,0.725956,-1.9175|0.8183,-11103.8,0.158283,0.0968109,5268,01,True,0.0254777,157,0.0990022,5111,0.974522,0.99709,0.0502976,0.117221,0.972182,0.0266861,0|0|0|0|0|0|0|3|0|154,0|0|0|0|0|0|0|2.67669|0|153.866,0|0|0|0|0|0|0|3|0|150,0.0000|1.0000,0.0278|0.9722,0.0034711|0.029035,0.0034768|0.029159,0.0018337|0.02489,0.0034711|0.029035,0.0034768|0.029159,0.0018337|0.02489,-857.7226|-857.6680,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,ignorable fit,3,0.479964,-1.9143|0.8197,-11103.7,0.159095,0.0968109,5268,01,True,0.0254777,157,0.0990022,5111,0.974522,0.997024,0.0503771,0.11854,0.97209,0.0267259,0|0|0|0|0|0|0|3|0|154,0|0|0|0|0|0|0|2.66842|0|153.864,0|0|0|0|0|0|0|3|0|150,0.0000|1.0000,0.0279|0.9721,0.0035521|0.029015,,,0.0035521|0.029015,,,-857.7226|-857.6680,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state-markov,ignorable fit,3,0.571665,-1.9143|0.8197,-11103.6,0.166842,0.0968109,5268,01,True,0.0254777,157,0.0990022,5111,0.974522,0.997027,0.0503763,0.118529,0.972093,0.0267274,0|0|0|0|0|0|0|3|0|154,0|0|0|0|0|0|0|2.66852|0|153.865,0|0|0|0|0|0|0|3|0|150,0.0000|1.0000,0.0279|0.9721,0.0035597|0.029014,0.0035659|0.029137,0.0018216|0.02491,0.0035597|0.029014,0.0035659|0.029137,0.0018216|0.02491,-857.7226|-857.6680,state,2,174,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,ignorable,,,,,-11537,0.155984,0.067388,5268,01,True,0.0331126,151,0.0683995,5117,0.966887,0.999902,0.066226,0.526602,0.96679,0.033015,0|0|0|0|0|0|0|0|0|151,0|0|0|0|0|0|0|0|0|150.985,0|0|0|0|0|0|0|0|0|146,0.0000|1.0000,0.0332|0.9668,,,,,,,,state,3,156,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state,,,,,-12311.2,0.183292,0.0671982,5268,01,True,0.0331126,151,0.068204,5117,0.966887,0.999764,0.0652886,0.245908,0.967124,0.0328761,0|0|0|0|0|0|0|0|0|151,0|0|0|0|0|0|0|0|0|150.964,0|0|0|0|0|0|0|0|0|146,0.0000|1.0000,0.0329|0.9671,8.7256e-06|0.046268,,,,,,,state,3,156,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,,oracle,state-markov,,,,,-12310.3,0.163632,0.0671982,5268,01,True,0.0331126,151,0.068204,5117,0.966887,0.999752,0.0652447,0.244553,0.967135,0.0328649,0|0|0|0|0|0|0|0|0|151,0|0|0|0|0|0|0|0|0|150.963,0|0|0|0|0|0|0|0|0|146,0.0000|1.0000,0.0329|0.9671,8.9099e-06|0.046272,8.3708e-06|0.045606,0.06051|0.060003,,,,,state,3,156,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,ignorable,start,4,0.702755,-1.9200|0.8127,-10299.5,0.230129,0.0981397,5268,01,True,0.0331126,151,0.100059,5117,0.966887,0.998495,0.0660038,0.214191,0.965495,0.0316073,0|0|0|0|0|0|0|0|0|151,0|0|0|0|0|0|0|0|0|150.773,0|0|0|0|0|0|0|0|0|146,0.0000|1.0000,0.0345|0.9655,,,,,,,-786.1868|-781.4401,state,3,156,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
controlled,102,2,ge10,hmc_in,0,unsupervised,state,start,4,0.661685,-1.9167|0.8148,-11036.5,0.235164,0.0975702,5268,01,True,0.0331126,151,0.0994723,5117,0.966887,0.999191,0.0634258,0.128939,0.967495,0.0323035,0|0|0|0|0|0|0|0|0|151,0|0|0|0|0|0|0|0|0|150.878,0|0|0|0|0|0|0|0|0|146,0.0000|1.0000,0.0325|0.9675,0.002053|0.026688,,,0.002053|0.026688,,,-786.1868|-781.4401,state,3,156,0|0.04873|0.002723,0|0.04059|0.002458,0|0.2075|0.1,
