subject,resolution,rule,classes,mechanism,statistic,observed,sim_median,sim_lo,sim_hi,p_two_sided,S
108,100Hz,-,activity,state-markov,onset_disp_10s,14.2284,4.63239,4.13083,5.02628,0.0487805,40
108,2Hz,ge10,K3,state,M,101,99,77,119,0.895522,200
108,2Hz,ge10,K3,state,n_bursts,84,97,76,117,0.119403,200
108,2Hz,ge10,K3,state,mean_len,1.20238,1.01932,1,1.05509,0.00995025,200
108,2Hz,ge10,K3,state,max_len,6,2,1,3,0.00995025,200
108,2Hz,ge10,K3,state,share_in_runs,0.267327,0.0379155,0,0.0969635,0.00995025,200
108,2Hz,ge10,K3,state,dispersion,3.25548,1.10946,0.96173,1.29379,0.00995025,200
108,2Hz,ge10,K3,state-markov,M,101,101,75.975,129.025,1,200
108,2Hz,ge10,K3,state-markov,n_bursts,84,85,65,103.05,0.995025,200
108,2Hz,ge10,K3,state-markov,mean_len,1.20238,1.19371,1.10519,1.31944,0.935323,200
108,2Hz,ge10,K3,state-markov,max_len,6,3,2,5,0.0497512,200
108,2Hz,ge10,K3,state-markov,share_in_runs,0.267327,0.295924,0.178519,0.416726,0.606965,200
108,2Hz,ge10,K3,state-markov,dispersion,3.25548,1.43204,1.16658,1.83324,0.00995025,200
108,2Hz,ge10,activity,state,M,101,101.5,83,124.05,1,200
108,2Hz,ge10,activity,state,n_bursts,84,99,81,121,0.109453,200
108,2Hz,ge10,activity,state,mean_len,1.20238,1.02083,1,1.05957,0.00995025,200
108,2Hz,ge10,activity,state,max_len,6,2,1,3,0.00995025,200
108,2Hz,ge10,activity,state,share_in_runs,0.267327,0.0408163,0,0.112443,0.00995025,200
108,2Hz,ge10,activity,state,dispersion,3.25548,1.18502,1.01571,1.43434,0.00995025,200
108,2Hz,ge10,activity,state-markov,M,101,101,79.975,124,1,200
108,2Hz,ge10,activity,state-markov,n_bursts,84,84,66.95,102,1,200
108,2Hz,ge10,activity,state-markov,mean_len,1.20238,1.20784,1.1046,1.33812,0.935323,200
