task,seconds,cpu_seconds,cached,spec
test,68.291,32.9464,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 19, ""quick"": false}"
test,35.0572,16.6164,True,"{""task"": ""test"", ""subject"": 105, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 19, ""quick"": false}"
test,37.1771,18.5943,True,"{""task"": ""test"", ""subject"": 105, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 19, ""quick"": false}"
test,40.2799,20.0899,True,"{""task"": ""test"", ""subject"": 105, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 19, ""quick"": false}"
test,35.1635,17.4715,True,"{""task"": ""test"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 19, ""quick"": false}"
test,40.2151,19.9913,True,"{""task"": ""test"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 19, ""quick"": false}"
test,43.5197,21.5238,True,"{""task"": ""test"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 19, ""quick"": false}"
real,0.326698,0.161678,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.097,0.528666,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 2, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.344344,0.163684,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.25527,0.598806,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 2, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.338134,0.169566,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,0.869853,0.431493,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.274802,0.144163,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.28623,0.608917,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 102, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.291377,0.156704,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,0.985074,0.488412,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.344145,0.14239,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.02067,0.626724,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 2, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.263251,0.147213,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,0.728493,0.378649,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.282689,0.140274,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.26065,0.595892,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 108, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.320896,0.147345,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.19024,0.500398,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 2, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.344725,0.156568,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 2, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,1.07741,0.511611,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 2, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.299236,0.145955,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""quick"": false}"
real,0.757585,0.365363,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 3, ""rule"": ""ge10"", ""model"": ""pmc_pair"", ""quick"": false}"
real,0.313168,0.163993,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""hmc_in"", ""quick"": false}"
real,0.942647,0.458414,True,"{""task"": ""real"", ""what"": ""oracle"", ""subject"": 105, ""K"": 3, ""rule"": ""any"", ""model"": ""pmc_pair"", ""quick"": false}"
test,180.94,113.171,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
test,203.203,133.394,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
test,219.292,149.392,True,"{""task"": ""test"", ""subject"": 108, ""K"": 2, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
test,224.512,154.343,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state"", ""null"": ""common"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
test,174.21,163.475,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""common"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
test,186.291,176.561,True,"{""task"": ""test"", ""subject"": 108, ""K"": 3, ""rule"": ""ge10"", ""model"": ""hmc_in"", ""alternative"": ""state-markov"", ""null"": ""state"", ""B"": 99, ""statistic"": ""profile"", ""quick"": false}"
