"# Exp #1 — PMC supervised, τ=0.7, margins=gamma, reps=300, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,18.42 (1.6),44.49 (1.2),36.72 (1.2),43.61 (1.2),48.42 (1.2),43.47 (1.2),35.53 (1.3)
c1,36.97 (2.6),25.43 (2.3),27.21 (2.4),28.84 (2.5),33.30 (2.7),27.20 (2.5),28.80 (2.5)
c2,36.33 (2.6),27.59 (2.4),25.74 (2.4),28.74 (2.4),33.20 (2.5),26.70 (2.4),28.80 (2.6)
c3,36.63 (2.6),26.79 (2.5),25.87 (2.4),22.98 (2.4),38.03 (2.5),28.53 (2.5),29.10 (2.8)
c6,39.18 (2.9),31.50 (3.2),29.48 (3.0),38.47 (2.9),15.27 (2.1),26.71 (2.9),40.68 (3.6)
c7,36.23 (2.8),25.97 (2.4),25.18 (2.4),30.00 (2.5),30.45 (2.6),24.24 (2.4),27.86 (2.5)
c8,34.64 (2.6),30.74 (2.2),30.45 (2.1),31.54 (2.2),37.42 (2.4),30.48 (2.1),28.02 (2.2)
