"# Exp #2 — PMM (i.i.d.), τ=0.16, margins=gauss, reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,25.72 (1.3),26.10 (1.5),25.92 (1.4),26.11 (1.5),26.30 (1.5),26.72 (1.6),25.92 (1.4)
c1,27.31 (1.3),27.13 (1.4),27.45 (1.3),27.29 (1.3),27.18 (1.4),27.28 (1.4),27.23 (1.3)
c2,26.95 (1.2),27.24 (1.0),26.87 (1.2),27.04 (1.1),27.40 (1.1),27.73 (1.1),27.21 (1.1)
c3,27.14 (0.9),26.96 (0.9),27.10 (0.9),26.86 (0.8),27.04 (0.8),27.26 (0.8),27.24 (0.8)
c4,28.08 (1.5),27.79 (1.5),28.35 (1.4),27.87 (1.5),27.67 (1.5),27.66 (1.5),27.93 (1.6)
c5,27.68 (1.2),27.25 (1.1),28.04 (1.1),27.42 (1.1),27.14 (1.1),27.16 (1.2),27.47 (1.2)
c6,26.83 (1.3),26.78 (1.3),26.81 (1.3),26.94 (1.3),26.80 (1.2),26.93 (1.2),26.66 (1.3)
