config,criterion,run,i,j,true,sel,hit
exp1_orig_p,mle,28,0,0,Gauss,GH,0
exp1_orig_p,mle,28,0,1,GH,Clayton,0
exp1_orig_p,mle,28,1,0,GH,Gauss,0
exp1_orig_p,mle,28,1,1,Clayton,Clayton,1
exp1_orig_p,mle,29,0,0,Gauss,Gauss,1
exp1_orig_p,mle,29,0,1,GH,Clayton,0
exp1_orig_p,mle,29,1,0,GH,Clayton,0
exp1_orig_p,mle,29,1,1,Clayton,Clayton,1
exp1_orig_p,mle,30,0,0,Gauss,GH,0
exp1_orig_p,mle,30,0,1,GH,Gauss,0
exp1_orig_p,mle,30,1,0,GH,Clayton,0
exp1_orig_p,mle,30,1,1,Clayton,Clayton,1
exp1_orig_p,mle,31,0,0,Gauss,GH,0
exp1_orig_p,mle,31,0,1,GH,Clayton,0
exp1_orig_p,mle,31,1,0,GH,GH,1
exp1_orig_p,mle,31,1,1,Clayton,Clayton,1
exp1_orig_p,mle,32,0,0,Gauss,Gauss,1
exp1_orig_p,mle,32,0,1,GH,Clayton,0
exp1_orig_p,mle,32,1,0,GH,Gauss,0
exp1_orig_p,mle,32,1,1,Clayton,Clayton,1
exp1_orig_p,mle,33,0,0,Gauss,GH,0
exp1_orig_p,mle,33,0,1,GH,GH,1
exp1_orig_p,mle,33,1,0,GH,Gauss,0
exp1_orig_p,mle,33,1,1,Clayton,Clayton,1
exp1_orig_p,mle,34,0,0,Gauss,Clayton,0
exp1_orig_p,mle,34,0,1,GH,Clayton,0
exp1_orig_p,mle,34,1,0,GH,Gauss,0
exp1_orig_p,mle,34,1,1,Clayton,Clayton,1
exp1_orig_p,mle,35,0,0,Gauss,Clayton,0
exp1_orig_p,mle,35,0,1,GH,Clayton,0
exp1_orig_p,mle,35,1,0,GH,Gauss,0
exp1_orig_p,mle,35,1,1,Clayton,Clayton,1
exp1_orig_p,mle,36,0,0,Gauss,GH,0
exp1_orig_p,mle,36,0,1,GH,GH,1
exp1_orig_p,mle,36,1,0,GH,Gauss,0
exp1_orig_p,mle,36,1,1,Clayton,Clayton,1
exp1_orig_p,mle,37,0,0,Gauss,GH,0
exp1_orig_p,mle,37,0,1,GH,GH,1
exp1_orig_p,mle,37,1,0,GH,Clayton,0
exp1_orig_p,mle,37,1,1,Clayton,Clayton,1
exp1_orig_p,mle,38,0,0,Gauss,GH,0
exp1_orig_p,mle,38,0,1,GH,GH,1
exp1_orig_p,mle,38,1,0,GH,Gauss,0
exp1_orig_p,mle,38,1,1,Clayton,Clayton,1
exp1_orig_p,mle,39,0,0,Gauss,GH,0
exp1_orig_p,mle,39,0,1,GH,GH,1
exp1_orig_p,mle,39,1,0,GH,GH,1
exp1_orig_p,mle,39,1,1,Clayton,Clayton,1
exp1_orig_p,mle,40,0,0,Gauss,Gauss,1
exp1_orig_p,mle,40,0,1,GH,Clayton,0
exp1_orig_p,mle,40,1,0,GH,GH,1
exp1_orig_p,mle,40,1,1,Clayton,Clayton,1
exp1_orig_p,mle,41,0,0,Gauss,Clayton,0
exp1_orig_p,mle,41,0,1,GH,Clayton,0
exp1_orig_p,mle,41,1,0,GH,Gauss,0
exp1_orig_p,mle,41,1,1,Clayton,Clayton,1
exp1_orig_p,mle,42,0,0,Gauss,Clayton,0
exp1_orig_p,mle,42,0,1,GH,Clayton,0
exp1_orig_p,mle,42,1,0,GH,Clayton,0
exp1_orig_p,mle,42,1,1,Clayton,Clayton,1
exp1_orig_p,mle,43,0,0,Gauss,GH,0
exp1_orig_p,mle,43,0,1,GH,Clayton,0
exp1_orig_p,mle,43,1,0,GH,GH,1
exp1_orig_p,mle,43,1,1,Clayton,Clayton,1
exp1_orig_p,mle,44,0,0,Gauss,GH,0
exp1_orig_p,mle,44,0,1,GH,Clayton,0
exp1_orig_p,mle,44,1,0,GH,GH,1
exp1_orig_p,mle,44,1,1,Clayton,Clayton,1
exp1_orig_p,mle,45,0,0,Gauss,GH,0
exp1_orig_p,mle,45,0,1,GH,Clayton,0
exp1_orig_p,mle,45,1,0,GH,Clayton,0
