"# Exp #2 — PMM (i.i.d.), τ=0.16, margins=gamma, reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,27.80 (1.3),27.86 (1.3),27.85 (1.2),27.86 (1.2),27.98 (1.3),28.41 (1.2),28.07 (1.3)
c1,30.45 (1.5),30.35 (1.4),30.46 (1.5),30.54 (1.5),30.33 (1.3),30.56 (1.2),30.44 (1.4)
c2,28.81 (1.2),28.90 (1.1),28.76 (1.1),28.93 (1.2),29.13 (1.2),29.68 (1.3),29.18 (1.2)
c3,29.91 (1.4),29.96 (1.3),29.89 (1.4),29.85 (1.4),30.12 (1.3),30.37 (1.4),30.32 (1.3)
c4,30.88 (1.5),30.89 (1.5),30.93 (1.5),30.95 (1.5),31.06 (1.4),31.13 (1.4),30.98 (1.4)
c5,31.22 (1.3),31.05 (1.1),31.25 (1.2),31.25 (1.2),30.87 (1.2),30.76 (1.2),30.97 (1.2)
c6,29.70 (1.1),29.69 (1.1),29.79 (1.1),29.89 (1.1),29.68 (1.1),29.79 (1.0),29.50 (1.0)
