i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,0/100,0.513
0,1,GH,0.400,14/100,0.307
1,0,GH,0.400,14/100,0.298
1,1,Clayton,0.700,100/100,0.671

sup_err_mean (%),23.01
sup_err_std (%),1.28
unsup_err_mean (%),31.75
unsup_err_std (%),2.16
