"# Exp #1 — PMC supervised, τ=0.16, margins=gamma, reps=300, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,18.42 (1.6),18.74 (1.6),19.34 (1.7),19.19 (1.6),19.07 (1.6),19.75 (1.7),20.22 (1.8)
c1,23.01 (1.9),22.75 (1.9),23.33 (1.9),23.11 (1.8),22.99 (1.9),23.34 (2.0),23.40 (2.0)
c2,21.99 (1.8),21.85 (1.8),20.87 (1.7),21.56 (1.8),22.61 (1.9),23.71 (1.9),22.41 (2.0)
c3,22.69 (1.9),22.57 (2.0),22.66 (1.9),22.13 (1.9),22.99 (2.0),23.55 (2.0),23.98 (2.0)
c4,23.06 (2.0),22.77 (2.0),23.82 (2.0),23.34 (2.0),22.55 (1.9),22.73 (1.9),23.44 (2.0)
c5,23.15 (1.9),22.84 (1.9),24.24 (1.9),23.61 (2.0),22.46 (1.9),22.39 (1.9),23.45 (1.8)
c6,22.67 (1.9),22.35 (1.9),22.83 (1.8),23.67 (1.9),22.67 (1.9),23.03 (2.0),21.51 (1.8)
