i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,0/5,0.278
0,1,CubSec,0.100,2/5,0.052
1,0,CubSec,0.100,3/5,0.024
1,1,Clayton,0.200,5/5,0.189

sup_err_mean (%),32.26
sup_err_std (%),1.52
unsup_err_mean (%),32.86
unsup_err_std (%),1.03
