i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,14/100,0.680
0,1,GH,0.400,22/100,0.299
1,0,GH,0.400,32/100,0.315
1,1,Clayton,0.700,100/100,0.679

sup_err_mean (%),20.34
sup_err_std (%),2.13
unsup_err_mean (%),28.02
unsup_err_std (%),4.22
