i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.226
0,1,CubSec,0.100,9/100,0.160
1,0,CubSec,0.100,9/100,0.149
1,1,Clayton,0.200,87/100,0.168

sup_err_mean (%),32.03
sup_err_std (%),1.12
unsup_err_mean (%),32.56
unsup_err_std (%),1.09
