"# Exp #2 — PMM (i.i.d.), τ=0.7, margins=gamma, reps=30, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,27.80 (1.3),38.13 (0.8),35.66 (1.0),38.07 (0.9),40.90 (1.2),38.29 (0.7),34.81 (1.0)
c1,34.32 (1.5),32.24 (1.5),32.43 (1.5),32.65 (1.4),35.55 (1.4),32.44 (1.4),32.61 (1.4)
c2,33.58 (1.4),32.20 (1.4),32.09 (1.3),32.47 (1.3),35.61 (1.5),32.25 (1.3),32.45 (1.4)
c3,33.82 (1.4),32.19 (1.4),32.06 (1.4),31.61 (1.4),37.06 (1.5),32.50 (1.4),32.20 (1.4)
c6,34.63 (1.6),33.50 (1.5),33.72 (1.5),35.62 (1.6),29.85 (1.3),33.16 (1.6),34.69 (1.6)
c7,33.64 (1.3),32.32 (1.5),32.28 (1.4),32.98 (1.4),34.48 (1.4),32.18 (1.5),32.59 (1.6)
c8,33.95 (1.4),33.23 (1.2),33.43 (1.2),33.33 (1.1),37.20 (1.6),33.43 (1.2),32.96 (1.3)
