config,criterion,run,i,j,true,sel,hit
exp1_orig_p,huard_global,26,0,0,Gauss,GH,0
exp1_orig_p,huard_global,26,0,1,GH,GH,1
exp1_orig_p,huard_global,26,1,0,GH,Clayton,0
exp1_orig_p,huard_global,26,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,27,0,0,Gauss,GH,0
exp1_orig_p,huard_global,27,0,1,GH,Gauss,0
exp1_orig_p,huard_global,27,1,0,GH,GH,1
exp1_orig_p,huard_global,27,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,28,0,0,Gauss,GH,0
exp1_orig_p,huard_global,28,0,1,GH,Clayton,0
exp1_orig_p,huard_global,28,1,0,GH,Gauss,0
exp1_orig_p,huard_global,28,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,29,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,29,0,1,GH,Clayton,0
exp1_orig_p,huard_global,29,1,0,GH,Clayton,0
exp1_orig_p,huard_global,29,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,30,0,0,Gauss,GH,0
exp1_orig_p,huard_global,30,0,1,GH,Gauss,0
exp1_orig_p,huard_global,30,1,0,GH,Clayton,0
exp1_orig_p,huard_global,30,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,31,0,0,Gauss,GH,0
exp1_orig_p,huard_global,31,0,1,GH,Clayton,0
exp1_orig_p,huard_global,31,1,0,GH,GH,1
exp1_orig_p,huard_global,31,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,32,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,32,0,1,GH,Clayton,0
exp1_orig_p,huard_global,32,1,0,GH,Gauss,0
exp1_orig_p,huard_global,32,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,33,0,0,Gauss,GH,0
exp1_orig_p,huard_global,33,0,1,GH,GH,1
exp1_orig_p,huard_global,33,1,0,GH,Gauss,0
exp1_orig_p,huard_global,33,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,34,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,34,0,1,GH,Clayton,0
exp1_orig_p,huard_global,34,1,0,GH,Gauss,0
exp1_orig_p,huard_global,34,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,35,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,35,0,1,GH,Clayton,0
exp1_orig_p,huard_global,35,1,0,GH,Gauss,0
exp1_orig_p,huard_global,35,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,36,0,0,Gauss,GH,0
exp1_orig_p,huard_global,36,0,1,GH,GH,1
exp1_orig_p,huard_global,36,1,0,GH,Gauss,0
exp1_orig_p,huard_global,36,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,37,0,0,Gauss,GH,0
exp1_orig_p,huard_global,37,0,1,GH,GH,1
exp1_orig_p,huard_global,37,1,0,GH,Clayton,0
exp1_orig_p,huard_global,37,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,38,0,0,Gauss,GH,0
exp1_orig_p,huard_global,38,0,1,GH,GH,1
exp1_orig_p,huard_global,38,1,0,GH,Gauss,0
exp1_orig_p,huard_global,38,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,39,0,0,Gauss,GH,0
exp1_orig_p,huard_global,39,0,1,GH,GH,1
exp1_orig_p,huard_global,39,1,0,GH,GH,1
exp1_orig_p,huard_global,39,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,40,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,40,0,1,GH,Clayton,0
exp1_orig_p,huard_global,40,1,0,GH,GH,1
exp1_orig_p,huard_global,40,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,41,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,41,0,1,GH,Clayton,0
exp1_orig_p,huard_global,41,1,0,GH,Gauss,0
exp1_orig_p,huard_global,41,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,42,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,42,0,1,GH,Clayton,0
exp1_orig_p,huard_global,42,1,0,GH,Clayton,0
exp1_orig_p,huard_global,42,1,1,Clayton,Clayton,1
