i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,1/5,0.670
0,1,GH,0.400,1/5,0.322
1,0,GH,0.400,1/5,0.347
1,1,Clayton,0.700,5/5,0.674

sup_err_mean (%),20.48
sup_err_std (%),2.53
unsup_err_mean (%),29.28
unsup_err_std (%),5.91
