i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Student,0.250,100/100,0.227
0,1,CubSec,0.100,6/100,0.164
1,0,CubSec,0.100,10/100,0.152
1,1,Clayton,0.200,80/100,0.165

sup_err_mean (%),32.03
sup_err_std (%),1.12
unsup_err_mean (%),32.58
unsup_err_std (%),1.10
