"# Exp #1 — PMC supervised, τ=0.16, margins=gauss, reps=300, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,17.57 (1.6),18.73 (1.6),18.80 (1.6),19.22 (1.6),18.87 (1.6),19.70 (1.7),18.33 (1.6)
c1,21.39 (1.8),20.75 (1.8),21.77 (1.8),21.08 (1.8),20.94 (1.8),21.13 (1.8),21.16 (1.8)
c2,21.25 (1.9),21.49 (1.9),20.39 (1.8),21.05 (1.9),21.94 (1.9),22.69 (1.9),21.56 (1.9)
c3,21.59 (1.9),21.09 (1.9),21.43 (1.9),20.78 (1.9),21.45 (1.9),21.77 (1.9),21.81 (1.9)
c4,21.42 (1.8),20.88 (1.8),22.36 (1.9),21.48 (1.8),20.73 (1.8),20.86 (1.8),21.27 (1.8)
c5,21.37 (1.7),20.61 (1.7),22.65 (1.9),21.41 (1.8),20.35 (1.7),20.27 (1.7),21.06 (1.7)
c6,20.52 (1.6),20.36 (1.7),21.26 (1.7),21.20 (1.7),20.43 (1.7),20.70 (1.7),20.01 (1.6)
