"# Exp #1 — PMC supervised, τ=0.7, margins=gauss, reps=300, N=2000"
sim/est,c0,c1,c2,c3,c6,c7,c8
c0,17.57 (1.6),48.26 (1.2),47.77 (1.6),43.83 (2.4),47.20 (1.3),47.86 (1.3),47.07 (2.1)
c1,33.52 (2.7),20.08 (2.3),22.06 (2.3),22.87 (2.5),37.55 (2.7),22.74 (2.4),23.36 (2.6)
c2,33.26 (2.6),23.29 (2.5),21.85 (2.3),23.03 (2.3),37.47 (2.6),22.79 (2.3),24.92 (2.7)
c3,33.81 (2.7),19.31 (2.3),18.89 (2.2),16.16 (1.9),41.82 (2.7),21.80 (2.4),21.01 (2.4)
c6,34.08 (2.7),33.42 (2.7),33.54 (2.7),34.60 (2.8),21.08 (2.1),32.76 (2.7),34.55 (2.8)
c7,32.63 (2.7),23.69 (2.5),23.36 (2.4),24.83 (2.5),35.11 (2.5),22.72 (2.3),24.78 (2.8)
c8,31.78 (2.5),26.46 (2.1),26.71 (2.1),26.39 (2.3),39.90 (2.3),27.20 (2.1),22.74 (2.2)
