i,j,true_name,true_tau,hits/runs,mean_tau
0,0,Gauss,0.700,0/10,0.505
0,1,GH,0.400,0/10,0.295
1,0,GH,0.400,1/10,0.304
1,1,Clayton,0.700,10/10,0.672

sup_err_mean (%),22.64
sup_err_std (%),1.02
unsup_err_mean (%),31.42
unsup_err_std (%),1.69
