"# CSDA 2013 (Derrode & Pieczynski, doi:10.1016/j.csda.2013.01.027) Tables 2-5 as printed: rows = tested (restoration) copula, columns = true (simulation) copula; mean error % and std"
table,tested,true,mean,std
3b,c1,c6,12.12,1.7
3b,c1,c7,14.05,1.9
3b,c1,c8,16.72,1.9
3b,c2,c0,31.04,2.0
3b,c2,c1,14.60,1.8
3b,c2,c2,14.91,2.0
3b,c2,c3,20.14,2.1
3b,c2,c6,9.23,1.3
3b,c2,c7,13.36,1.7
3b,c2,c8,16.72,1.9
3b,c3,c0,35.84,1.1
3b,c3,c1,15.71,1.9
3b,c3,c2,16.98,2.1
3b,c3,c3,18.03,2.1
3b,c3,c6,17.69,2.2
3b,c3,c7,15.87,2.0
3b,c3,c8,16.68,1.9
3b,c6,c0,45.64,2.9
3b,c6,c1,17.66,2.0
3b,c6,c2,17.32,1.9
3b,c6,c3,23.23,2.1
3b,c6,c6,6.71,1.1
3b,c6,c7,14.85,1.8
3b,c6,c8,20.08,2.1
3b,c7,c0,37.56,2.0
3b,c7,c1,14.59,1.8
3b,c7,c2,15.24,1.9
3b,c7,c3,20.56,2.1
3b,c7,c6,8.60,1.2
3b,c7,c7,13.09,1.7
3b,c7,c8,16.98,1.9
3b,c8,c0,35.46,1.4
3b,c8,c1,14.43,1.8
3b,c8,c2,15.62,2.0
3b,c8,c3,18.75,2.2
3b,c8,c6,12.97,1.7
3b,c8,c7,13.87,1.8
3b,c8,c8,16.05,1.9
4a,c0,c0,17.11,0.8
4a,c0,c1,19.79,0.8
4a,c0,c2,18.48,0.8
4a,c0,c3,19.30,0.7
4a,c0,c4,20.42,0.8
4a,c0,c5,20.60,0.8
4a,c0,c6,19.20,0.8
4a,c1,c0,17.18,0.7
4a,c1,c1,19.74,0.8
4a,c1,c2,18.56,0.8
4a,c1,c3,19.34,0.7
4a,c1,c4,20.32,0.8
4a,c1,c5,20.49,0.8
4a,c1,c6,19.15,0.8
4a,c2,c0,17.12,0.8
4a,c2,c1,19.78,0.8
4a,c2,c2,18.45,0.7
4a,c2,c3,19.27,0.7
4a,c2,c4,20.37,0.8
4a,c2,c5,20.60,0.8
4a,c2,c6,19.20,0.8
4a,c3,c0,17.26,0.7
4a,c3,c1,19.86,0.8
4a,c3,c2,18.57,0.7
4a,c3,c3,19.29,0.7
4a,c3,c4,20.47,0.8
4a,c3,c5,20.65,0.8
4a,c3,c6,19.48,0.8
4a,c4,c0,17.30,0.7
4a,c4,c1,19.75,0.8
4a,c4,c2,18.63,0.8
4a,c4,c3,19.41,0.7
4a,c4,c4,20.31,0.8
4a,c4,c5,20.44,0.8
4a,c4,c6,19.17,0.8
4a,c5,c0,17.56,0.7
4a,c5,c1,19.83,0.8
4a,c5,c2,18.94,0.8
4a,c5,c3,19.55,0.7
4a,c5,c4,20.35,0.8
4a,c5,c5,20.43,0.8
4a,c5,c6,19.26,0.8
4a,c6,c0,17.35,0.7
4a,c6,c1,19.78,0.8
4a,c6,c2,18.70,0.8
4a,c6,c3,19.62,0.8
4a,c6,c4,20.31,0.8
4a,c6,c5,20.46,0.8
4a,c6,c6,18.89,0.8
4b,c0,c0,16.99,0.7
4b,c0,c1,19.22,0.7
4b,c0,c2,18.54,0.7
4b,c0,c3,18.78,0.6
4b,c0,c4,19.51,0.6
4b,c0,c5,19.63,0.7
4b,c0,c6,19.23,0.6
4b,c1,c0,17.43,0.6
4b,c1,c1,18.74,0.6
4b,c1,c2,18.45,0.6
4b,c1,c3,18.65,0.6
4b,c1,c4,18.84,0.6
4b,c1,c5,18.91,0.6
4b,c1,c6,18.67,0.6
4b,c2,c0,17.40,0.7
4b,c2,c1,19.06,0.6
4b,c2,c2,18.08,0.7
4b,c2,c3,18.82,0.6
4b,c2,c4,19.29,0.6
4b,c2,c5,19.48,0.6
4b,c2,c6,18.78,0.7
4b,c3,c0,17.18,0.6
4b,c3,c1,18.82,0.6
4b,c3,c2,18.33,0.6
4b,c3,c3,18.58,0.6
4b,c3,c4,18.94,0.6
4b,c3,c5,19.06,0.6
4b,c3,c6,18.78,0.6
4b,c4,c0,17.65,0.7
4b,c4,c1,18.74,0.6
4b,c4,c2,18.56,0.6
4b,c4,c3,18.73,0.6
4b,c4,c4,18.78,0.6
4b,c4,c5,18.83,0.6
4b,c4,c6,18.73,0.6
4b,c5,c0,17.74,0.7
4b,c5,c1,18.80,0.7
4b,c5,c2,18.74,0.6
4b,c5,c3,18.77,0.6
4b,c5,c4,18.82,0.6
4b,c5,c5,18.84,0.6
4b,c5,c6,18.81,0.6
4b,c6,c0,17.75,0.7
4b,c6,c1,18.90,0.6
4b,c6,c2,18.36,0.6
4b,c6,c3,18.96,0.6
4b,c6,c4,19.06,0.6
4b,c6,c5,19.20,0.6
4b,c6,c6,18.49,0.6
5a,c0,c0,17.06,0.8
5a,c0,c1,24.33,0.7
5a,c0,c2,23.99,0.7
5a,c0,c3,24.30,0.7
5a,c0,c6,24.95,0.7
5a,c0,c7,23.97,0.8
5a,c0,c8,24.12,0.7
5a,c1,c0,29.90,0.8
5a,c1,c1,22.47,0.7
